"Permit #","Issued Date","Permit Type","Permit Sub Type","Address","Description","Contractor Name","RECORDID"
"BL23-0009","04/19/2023","BUSINESS LICENSE","","9084 MARSHALL CT","Smokehouse LLC","","DHOR:230419100412689"
"BL23-0010","04/19/2023","BUSINESS LICENSE","","960 W 124TH AVE #900","Bhakti, Inc","","DHOR:230419101515765"
"BL23-0011","04/19/2023","BUSINESS LICENSE","","5076 W 92ND AVE","M & H Holdings LLC","","DHOR:230419034420263"
"BL23-0008","04/05/2023","BUSINESS LICENSE","","14697 DELAWARE ST BLDG B","Orchard Coffee Bar","","DHOR:230405104335332"
"BL23-0006","03/17/2023","BUSINESS LICENSE","","9014 W 88TH AVE","JYUY826 Inc","","DHOR:230317025335795"
"BL23-0007","03/17/2023","BUSINESS LICENSE","","8911 YATES ST","10707 Westminster LLC","","DHOR:230317025837821"
"BL23-0005","01/27/2023","BUSINESS LICENSE","","","Existing home in a commercial ...","","MJON:230127040641364"
"BL23-0001","01/23/2023","BUSINESS LICENSE","","7236 FEDERAL BLVD #400","Pasteles Cisne Spring Fling Ca...","","DHOR:230123104550821"
"BL23-0002","01/23/2023","BUSINESS LICENSE","","3240 W 71ST AVE #4","Garrett Brown Furniture LLC","","DHOR:230123105100863"
"BL23-0003","01/23/2023","BUSINESS LICENSE","","2841 W 120TH AVE #100","Asian Cajun Westminster, LLC","","DHOR:230123105417896"
"BL23-0004","01/23/2023","BUSINESS LICENSE","","710 W 120TH AVE","Weis Poke Bowl III, LLC","","DHOR:230123105654927"
"BL22-0023","12/13/2022","BUSINESS LICENSE","","7729 W 92ND AVE","The Real Momo House, LLC","","DHOR:221213030629081"
"BL22-0024","12/13/2022","BUSINESS LICENSE","","2851 W 120TH AVE #100","Akhurath Inc","","DHOR:221213031429142"
"BL22-0025","12/13/2022","BUSINESS LICENSE","","8991 HARLAN ST #A","RMH Entertainment Group LLC","","DHOR:221213031954172"
"BL22-0026","12/13/2022","BUSINESS LICENSE","","3501 W 104TH AVE","The Marble Arch Co","","DHOR:221213032446233"
"BL22-0027","12/13/2022","BUSINESS LICENSE","","4830 W 120TH AVE","KBCB Limited Liability Comp","","DHOR:221213032825257"
"BL22-0021","09/23/2022","BUSINESS LICENSE","","8920 WESTMINSTER BLVD","Inks & Drinks","","DHOR:220923092910399"
"BL22-0022","09/23/2022","BUSINESS LICENSE","","5150 W 120TH AVE #100","Airbnbology, LLC","","DHOR:220923093139432"
"BL22-0019","08/24/2022","BUSINESS LICENSE","","9440 SHERIDAN BLVD","Halloween City","","DHOR:220824095228346"
"BL22-0020","08/24/2022","BUSINESS LICENSE","","8460 FEDERAL BLVD","Panda Family Buffet Inc","","DHOR:220824095542379"
"BL22-0016","07/27/2022","BUSINESS LICENSE","","14663 ORCHARD PKWY #300","Colorado Escape","","DHOR:220727030650849"
"BL22-0017","07/27/2022","BUSINESS LICENSE","","7135 NEWTON ST #5","R & D Automotive","","DHOR:220727031412916"
"BL22-0018","07/27/2022","BUSINESS LICENSE","","7131 IRVING ST #S","Cabin House Studios","","DHOR:220727032208970"
"BL22-0015","07/19/2022","BUSINESS LICENSE","","10443 TOWN CENTER DR #500","Mochinut Westminster","","DHOR:220719035212700"
"BL22-0013","07/13/2022","BUSINESS LICENSE","","14644 ORCHARD PKWY #1200","Yukon Axe, LLC","","DHOR:220713112050642"
"BL22-0014","07/13/2022","BUSINESS LICENSE","","9975 WADSWORTH PKWY #M2B","Viking Axe Throwing LLC","","DHOR:220713113120762"
"BL22-0012","06/01/2022","BUSINESS LICENSE","","9299 FEDERAL BLVD #A","CARNICERIA LA SUPREMA CORP.","","MSCA:220601121659211"
"BLDG17-2934","04/19/2022","COMMERCIAL SIGN","SIGN","5430 W 73RD AVE","Property Monument Sign","ALLIANCE CONSTRUCTION SOLUTION...","ECON:170531082951718"
"BL22-0010","04/04/2022","BUSINESS LICENSE","","1975 W 120TH AVE #600","Matsumotto Sushi & Grill, LLC","","DHOR:220404030336769"
"BL22-0011","04/04/2022","BUSINESS LICENSE","","9975 WADSWORTH PKWY #C","Silver Mine Subs","","DHOR:220404030712824"
"BL22-0003","03/16/2022","BUSINESS LICENSE","","7111 JULIAN ST","Alegre Wedding and Events","","DHOR:220316034312656"
"BL22-0004","03/16/2022","BUSINESS LICENSE","","8020 FEDERAL BLVD 3","Marta's Kitchen Y Neveria","","DHOR:220316034643683"
"BL22-0005","03/16/2022","BUSINESS LICENSE","","7655 W 88TH AVE","Thane's Table, LLC","","DHOR:220316041327891"
"BL22-0006","03/16/2022","BUSINESS LICENSE","","4880 W 120TH AVE #200","Sunflower Thai LLC","","DHOR:220316041926965"
"BL22-0007","03/16/2022","BUSINESS LICENSE","","2755 W 72ND AVE","Ruben's Restaurant LLC","","DHOR:220316042159989"
"BL22-0008","03/16/2022","BUSINESS LICENSE","","7215 LOWELL BLVD","Studio Dance, LLC","","DHOR:220316042532023"
"BL22-0009","03/16/2022","BUSINESS LICENSE","","14643 ORCHARD PKWY #400","Pho Lee","","DHOR:220316042901043"
"BLDG19-7696","03/16/2022","RESIDENTIAL BUILDING","ELECTRICAL","9433 W 99TH PL","Changing Electrical Panel","Laurie Addo","EPRS:191101012501611"
"BL22-0002","03/14/2022","BUSINESS LICENSE","","14375 ORCHARD PKWY #100","Sugarfire Smokehouse","","DHOR:220314030618965"
"BL22-0001","03/09/2022","BUSINESS LICENSE","","7677 W 88TH AVE","Winning Boxing Camp","","DHOR:220309111623847"
"BL21-0027","11/08/2021","BUSINESS LICENSE","","10343 FEDERAL BLVD #H","Business License for new owner...","","TGAR:211108033211168"
"BLDG19-3221","11/01/2021","RESIDENTIAL BUILDING","ELECTRICAL","9550 OSCEOLA ST","service change","nathan klockow","EPRS:190610090129466"
"21-0260","10/18/2021","RESIDENTIAL COUNTER","REROOF","519 W 130TH AVE","Remove and replace shingles","AVI INC","ECON:211014092842751"
"BL21-0026","10/12/2021","BUSINESS LICENSE","","3750 W 72ND AVE","On the Road Again","","DHOR:211012101225405"
"BL21-0023","10/11/2021","BUSINESS LICENSE","","12910 ZUNI ST","Bella Macaron LLC","","DHOR:211011091052054"
"BL21-0024","10/11/2021","BUSINESS LICENSE","","6801 LOWELL BLVD","Dos Patrias Mexican Restaurant","","DHOR:211011091533074"
"BL21-0025","10/11/2021","BUSINESS LICENSE","","9295 FEDERAL BLVD","Lucky Day Arcade LLC","","DHOR:211011092213123"
"BLDG20-0218","09/27/2021","RESIDENTIAL COUNTER","SEWER REPAIR","7850 ZENOBIA ST","Yard Sewer spot  Repair 25ft L...","CORONADO EXCAVATION OF SEWER A...","ECON:200114105340810"
"BL21-0022","09/21/2021","BUSINESS LICENSE","","7124 FEDERAL BLVD #700","Tacos Y Salsas","","DHOR:210921110124500"
"BLDG18-6086","09/08/2021","COMMERCIAL NEW","NEW BUILDING","7465 W 92ND AVE","New Core and Shell Harbour com...","BAKER BUILDERS","ECON:180926120516987"
"21-0110","08/05/2021","RESIDENTIAL SOLAR","NEW PV INSTALL","10241 EATON ST","6.48 kw roof mounted solar","PHOTON BROTHERS LLC","ECON:210804125156608"
"BL21-0021","07/29/2021","BUSINESS LICENSE","","3041 W 92ND AVE","Business License for SPICY THA...","","TGAR:210729025518808"
"BLDG20-0625","07/26/2021","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","7402 CHURCH RANCH BLVD #214","Remove and replace furnace and...","MINUTEMAN HEATING AND COOLING ...","ECON:200204124551061"
"BL21-0014","07/12/2021","BUSINESS LICENSE","","4880 W 120TH AVE #400","Tasty Thai Resturant","","DHOR:210712115525706"
"BL21-0015","07/12/2021","BUSINESS LICENSE","","5305 W 98TH AVE","New Beginnings Child Care","","DHOR:210712120130784"
"BL21-0016","07/12/2021","BUSINESS LICENSE","","9027 HARLAN ST","Qboba Cafe","","DHOR:210712120659815"
"BL21-0017","07/12/2021","BUSINESS LICENSE","","14694 ORCHARD PKWY #400","Windfall Brewing Company","","DHOR:210712121022846"
"BL21-0018","07/12/2021","BUSINESS LICENSE","","3053 W 74TH AVE #A","The Universal Church","","DHOR:210712121418878"
"BL21-0019","07/12/2021","BUSINESS LICENSE","","3049 W 74TH AVE #A","Banana's Neveria LLC","","DHOR:210712121829923"
"BL21-0020","07/12/2021","BUSINESS LICENSE","","10392 REED ST","10392 Reed Street Licensee","","DHOR:210712122201936"
"BLDG17-2871","06/22/2021","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","14190 LEXINGTON CIR","replace like for like AC & Fur...","STEEL T HEATING INC","ECON:170525013233358"
"BL21-0013","05/13/2021","BUSINESS LICENSE","","3151 W 70TH AVE","WonderCrush LLC","","DHOR:210513050218059"
"BL21-0011","05/03/2021","BUSINESS LICENSE","","9960 WADSWORTH PKWY #300","Janakpur LLC","","DHOR:210503035337287"
"BL21-0012","05/03/2021","BUSINESS LICENSE","","7267 Lowell Blvd 3","Penguin Building","","DHOR:210503035716321"
"BLDG19-2152","05/03/2021","RESIDENTIAL SOLAR","NEW PV INSTALL","1095 W 125TH DR","Zamora Solar PV System 9kW","BRS FIELD OPS LLC","ECON:190422042256763"
"BLDG19-3524","03/23/2021","RESIDENTIAL COUNTER","REROOF","10070 ROUTT ST","Remove all roofing to decking ...","ARVADA ROOFING & CONSTRUCTION","ECON:190624102127038"
"BL21-0010","03/16/2021","BUSINESS LICENSE","","5170 W 113TH AVE","The Academy ECE of Westminster","","DHOR:210316045109235"
"BL21-0004","02/11/2021","BUSINESS LICENSE","","4975 W 80TH AVE #C","Adelita's Kitchen LLC","","DHOR:210211023524982"
"BL21-0005","02/11/2021","BUSINESS LICENSE","","5078 W 92ND AVE","The Bad Hatchet, LLC","","DHOR:210211024018023"
"BL21-0006","02/11/2021","BUSINESS LICENSE","","12004 MELODY DR","The Great Hall","","DHOR:210211024454049"
"BL21-0007","02/11/2021","BUSINESS LICENSE","","3686 W 72ND AVE","Advanced Transmission Center B...","","DHOR:210211024845078"
"BL21-0008","02/11/2021","BUSINESS LICENSE","","14663 ORCHARD PKWY #100","Marcos Pizza","","DHOR:210211025255117"
"BL21-0009","02/11/2021","BUSINESS LICENSE","","6050 W 92ND AVE #200","Hot Pho","","DHOR:210211025621151"
"BLDG18-7600","01/12/2021","RESIDENTIAL NEW","SINGLE FAMILY ATTACHED","6771 MEADE CIR","Building 7-Wood Frame Five Uni...","CR GROUP LIMITED LLC","ECON:181206120220990"
"BLDG18-7601","01/12/2021","RESIDENTIAL NEW","SINGLE FAMILY ATTACHED","6773 MEADE CIR","Building 7-Wood Frame Five Uni...","CR GROUP LIMITED LLC","ECON:181206120737062"
"BLDG18-7602","01/12/2021","RESIDENTIAL NEW","SINGLE FAMILY ATTACHED","6775 MEADE CIR","Building 7-Wood Frame Five Uni...","CR GROUP LIMITED LLC","ECON:181206121319168"
"BLDG18-7603","01/12/2021","RESIDENTIAL NEW","SINGLE FAMILY ATTACHED","6777 MEADE CIR","Building 7-Wood Frame Five Uni...","CR GROUP LIMITED LLC","ECON:181206121851239"
"BLDG18-7604","01/12/2021","RESIDENTIAL NEW","SINGLE FAMILY ATTACHED","6779 MEADE CIR","Building 7-Wood Frame Five Uni...","CR GROUP LIMITED LLC","ECON:181206122359313"
"BL21-0003","01/07/2021","BUSINESS LICENSE","","4955 W 72ND AVE #A","Taqueria Las Palmas - Outdoor ...","","DHOR:210107023042913"
"BL21-0001","01/06/2021","BUSINESS LICENSE","","14300 ORCHARD PKWY","St Anthony North  - Outdoor Di...","","DHOR:210106071759277"
"BL21-0002","01/06/2021","BUSINESS LICENSE","","10431 TOWN CENTER DR #101C","East Moon Asian Bistro - Outdo...","","DHOR:210106101802137"
"BLDG20-0024","12/23/2020","RESIDENTIAL EXTERIOR","FENCE","9319 FLOWER CT","WESTMINSTER - FENCE","CUSTOM FENCE & SUPPLY INC","ECON:200102034330749"
"BL20-0057","12/16/2020","BUSINESS LICENSE","","8711 WADSWORTH BLVD","Old Chicago Taproom - Outdoor ...","","DHOR:201216094011963"
"BLDG19-4488","12/15/2020","COMMERCIAL","REROOF","11940 BRADBURN BLVD","Replace kitchen roof area (cen...","CENTIMARK CORPORATION","ECON:190730111402255"
"BLDG19-6352","12/15/2020","COMMERCIAL","BUILDING","3850 W 112TH AVE BLDG CH","mailbox station extension","SKYLINE PROPERTY MAINTENANCE I...","EPRS:190918083548277"
"BLDG19-8084","12/09/2020","COMMERCIAL","BUILDING","581 W 123RD AVE BLDG CH","mailbox station addition","min lee","EPRS:191118015149898"
"BL20-0055","12/08/2020","BUSINESS LICENSE","","9277 FEDERAL BLVD","Tacos Junior Inc - Outdoor Din...","","DHOR:201208052532356"
"BL20-0056","12/08/2020","BUSINESS LICENSE","","6315 W 104TH AVE #100","Snooze an A.M. Eatery - Outdoo...","","DHOR:201208053103390"
"BL20-0054","11/30/2020","BUSINESS LICENSE","","7570 SHERIDAN BLVD","Dee Gee #1 - Outdoor Dining ","","DHOR:201130053157454"
"BL20-0052","11/09/2020","BUSINESS LICENSE","","1111 W 120TH AVE","Hooters of Westminster Temp Ou...","","DHOR:201109093454039"
"BL20-0053","11/09/2020","BUSINESS LICENSE","","799 W 146TH AVE","Red Robin Temp Outdoor Dining","","DHOR:201109115129822"
"BLDG19-1111","11/05/2020","COMMERCIAL","PLUMBING","6880 W 91ST CT BLDG 3","Replace water heater","FRONTIER MECHANICAL INC","ECON:190305100428921"
"BLDG20-0635","10/27/2020","RESIDENTIAL COUNTER","WATER HEATER","11010 HARLAN ST","test","Katie Test Electrical","ECON:200204023417312"
"BL20-0047","10/21/2020","BUSINESS LICENSE","","6515 W 104TH AVE #100","Rusty Taco","","DHOR:201021020726884"
"BL20-0048","10/21/2020","BUSINESS LICENSE","","4880 W 120TH AVE #200","Tasty Thai","","DHOR:201021021011905"
"BL20-0049","10/21/2020","BUSINESS LICENSE","","5240 W 78TH PL","Shapes of Tomorrow Montessori ...","","DHOR:201021021353940"
"BL20-0050","10/21/2020","BUSINESS LICENSE","","9084 MARSHALL CT","Golden Corral Catering","","DHOR:201021021707962"
"BL20-0051","10/21/2020","BUSINESS LICENSE","","14644 ORCHARD PKWY #200","Spirit Halloween Superstores","","DHOR:201021022033979"
"BL20-0046","10/19/2020","BUSINESS LICENSE","","3050 W 76TH AVE","Bi Miguel Pro Catholic Academy","","DHOR:201019104649375"
"BLDG19-8335","10/15/2020","COMMERCIAL","TENANT FINISH","14583 ORCHARD PKWY #600","TF for Sephora no change in us...","BOGART CONSTRUCTION","ECON:191204023903591"
"BL20-0045","10/08/2020","BUSINESS LICENSE","","9000 YUKON ST","Yak & Yeti Restaurant","","DHOR:201008074951520"
"BLDG19-6223","09/22/2020","COMMERCIAL SIGN","SIGN","3575 W 96TH AVE","Westminster Christian - Replac...","Boyd Sign Systems","EPRS:190915062755209"
"BLDG19-8231","09/15/2020","RESIDENTIAL INTERIOR","BASEMENT FINISH","12948 VALLEJO CIR","Rosters basement finishing","ROSTER GENERAL CONTRACTING","ECON:191126020701796"
"BL20-0044","09/08/2020","BUSINESS LICENSE","","8161 W 94TH AVE","Salsas Gourmet & Grill, LLC","","DHOR:200908074732271"
"BL20-0041","09/01/2020","BUSINESS LICENSE","","395 W 120TH AVE","Village Inn","","DHOR:200901074704443"
"BL20-0042","09/01/2020","BUSINESS LICENSE","","9215 FEDERAL BLVD","Mr Taco LLC","","DHOR:200901074950475"
"BL20-0043","09/01/2020","BUSINESS LICENSE","","4550 Main St 100-600","Cava Mezze Grill","","DHOR:200901075749498"
"BLDG19-7398","08/27/2020","COMMERCIAL NEW","NEW BUILDING","14190 ORCHARD PKWY","St Anthony North Ortho New Cor...","BRINKMAN CONSTRUCTION, INC.","ECON:191021061430169"
"16-3375","08/26/2020","RESIDENTIAL SOLAR","","7940 GROVE ST","3.9	KW SOLAR SYSTEM BE:  Insta...","","CONV:1612090607480085638"
"20-0005","08/26/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","9260 GARRISON ST","1.5 Ton 13 Seer Builder Grade ...","SUMMIT HEATING & A/C INC","ECON:200812075545748"
"BLDG20-0258","08/25/2020","COMMERCIAL","TENANT FINISH","9280 SHERIDAN BLVD","TF for Hook and Reel Restauran...","CC REMODEL","ECON:200115030651311"
"20-0006","08/24/2020","RIGHT OF WAY","RIGHT OF WAY","200 W 136TH AVE","New Fiber Install","ADVANCED UNDERGROUND","ECON:200814111845529"
"BLDG17-1312","08/19/2020","RESIDENTIAL BUILDING","ELECTRICAL","5940 W 108TH AVE","150 amp panel change","ABSOLUTE ELECTRICAL SERVICES","ECON:170314014810668"
"BL20-0039","08/17/2020","BUSINESS LICENSE","","13648 ORCHARD PKWY","Renegade Burrito","","DHOR:200817034750419"
"BL20-0040","08/17/2020","BUSINESS LICENSE","","4750 W 120TH AVE #500","Pretty Nails, Inc","","DHOR:200817035337442"
"BLDG19-3893","08/10/2020","COMMERCIAL","TENANT FINISH","3049 W 74TH AVE #A","icecream shop","AGM Builders LLC","ECON:190710045311561"
"BLDG20-0710","08/10/2020","COMMERCIAL","BUILDING","7155 SHERIDAN BLVD","Walmart register remodel","Powerhouse Retail Services","ECON:200210085356987"
"BLDG19-7085","08/06/2020","RESIDENTIAL BUILDING","BUILDING","7960 QUITMAN ST","Foundation stabalization.","COLORADO STRUCTURAL REPAIR","ECON:191010073535517"
"BLDG19-7785","08/06/2020","RESIDENTIAL BUILDING","BUILDING","4270 BARR LN","Foundation stabalization.","COLORADO STRUCTURAL REPAIR","ECON:191105024414252"
"BLDG19-5241","07/24/2020","RESIDENTIAL INTERIOR","BASEMENT FINISH","9592 BRENTWOOD WAY #C","Complete our unfinished base","Deanna Mayberry","EPRS:190819110529766"
"BLDG20-0465","07/23/2020","RESIDENTIAL COUNTER","SIDING REPLACEMENT","9340 RALEIGH CT","Install 20 sq vinyl siding, so...","POWER HOME REMODELING GROUP","ECON:200128091749275"
"BL20-0038","07/22/2020","BUSINESS LICENSE","","9350 SHERIDAN BLVD","Overstock Furniture & Mattress","","DHOR:200722054929972"
"BLDG20-0172","07/15/2020","COMMERCIAL SIGN","SIGN","14694 ORCHARD PKWY #1200","Leanna Organics 14694 Orchard ...","SIGNDEALZ CORP","ECON:200110011249519"
"BLDG19-5509","07/13/2020","RESIDENTIAL COUNTER","SEWER REPAIR","8037 BRYANT ST","10' long sewer service repair ...","THE ELITE PIPE MD","ECON:190826082310671"
"BLDG19-8528","07/13/2020","COMMERCIAL TRAILER","CONSTRUCTION TRAILER","14190 ORCHARD PKWY","12' x 60' Mobile Jobsite Trail...","BRINKMAN CONSTRUCTION, INC.","ECON:191216113242453"
"BLDG20-0279","07/08/2020","COMMERCIAL","TENANT FINISH","8406 CLAY ST","TF for BHG Behavioral Health G...","303 CONSTRUCTION & DEVELOPMENT...","ECON:200116115206731"
"BL20-0034","07/07/2020","BUSINESS LICENSE","","11950 BRADBURN BLVD","Ted's Montana Grill - Expanded...","","DHOR:200707083218425"
"BL20-0035","07/07/2020","BUSINESS LICENSE","","14697 DELAWARE ST #800","3 Margaritas Mexican Restauran...","","DHOR:200707084057460"
"BL20-0036","07/07/2020","BUSINESS LICENSE","","2851 W 120TH AVE #100","Himalayan Curry House - Expand...","","DHOR:200707085158529"
"BL20-0037","07/07/2020","BUSINESS LICENSE","","10438 TOWN CENTER DR","Bonefish Grill - Expanded Outd...","","DHOR:200707085650559"
"BLDG19-3219","07/07/2020","COMMERCIAL","TENANT FINISH","8850 WESTMINSTER BLVD","TF Sweet Bloom Coffee will nee...","REUBEN KRUPICKA","ECON:190610084454363"
"BLDG19-3220","07/07/2020","COMMERCIAL SIGN","SIGN","8860 WESTMINSTER BLVD","Retail tenant wall sign","SHOP STUDIO","ECON:190610084952415"
"BLDG19-4507","07/02/2020","RESIDENTIAL COUNTER","REROOF","9265 W 98TH WAY","Complete Re-Roof","ELEMENT EXTERIORS","ECON:190730041834550"
"BL20-0033","06/30/2020","BUSINESS LICENSE","","10339 FEDERAL BLVD","Lucero's Mexican Restaurant - ...","","DHOR:200630073402216"
"BLDG18-7595","06/30/2020","RESIDENTIAL NEW","SINGLE FAMILY ATTACHED","6761 MEADE CIR","Building 6-Wood Frame Five Uni...","CR GROUP LIMITED LLC","ECON:181205112439617"
"BLDG18-7596","06/30/2020","RESIDENTIAL NEW","SINGLE FAMILY ATTACHED","6763 MEADE CIR","Building 6-Wood Frame Five Uni...","CR GROUP LIMITED LLC","ECON:181205113307695"
"BLDG18-7597","06/30/2020","RESIDENTIAL NEW","SINGLE FAMILY ATTACHED","6765 MEADE CIR","Building 6-Wood Frame Five Uni...","CR GROUP LIMITED LLC","ECON:181205113930771"
"BLDG18-7598","06/30/2020","RESIDENTIAL NEW","SINGLE FAMILY ATTACHED","6767 MEADE CIR","Building 6-Wood Frame Five Uni...","CR GROUP LIMITED LLC","ECON:181205114705845"
"BLDG18-7599","06/30/2020","RESIDENTIAL NEW","SINGLE FAMILY ATTACHED","6769 MEADE CIR","Building 6-Wood Frame Five Uni...","CR GROUP LIMITED LLC","ECON:181205115414920"
"BLDG19-8522","06/30/2020","RESIDENTIAL COUNTER","FURNACE","4954 W 107TH LOOP","Furnace replacement","MAJOR HEATING AND AIR CONDITIO...","ECON:191216094115603"
"BLDG20-0239","06/30/2020","RESIDENTIAL COUNTER","REROOF","9318 W 94TH AVE","Replace asphalt shingle","ANDERSON CONSTRUCTION","ECON:200115085326292"
"BLDG20-0357","06/30/2020","RESIDENTIAL COUNTER","REROOF","8735 W 93RD AVE","Replace asphalt shingle","ANDERSON CONSTRUCTION","ECON:200122090916343"
"BL20-0032","06/25/2020","BUSINESS LICENSE","","10710 WESTMINSTER BLVD","Bender's - Expanded Outdoor Di...","","DHOR:200625060428725"
"BLDG19-8269","06/22/2020","COMMERCIAL","BUILDING","6400 W 92ND AVE","Costco -Replacing an old coole...","VICTORY CONSTRUCTION & REFRIGE...","ECON:191202084328607"
"BL20-0031","06/18/2020","BUSINESS LICENSE","","7685 W 88TH AVE","CD's Wings","","DHOR:200618092329645"
"BLDG20-0211","06/16/2020","RESIDENTIAL COUNTER","REROOF","13806 LEXINGTON PL","reroof","EXCELLENCE ROOFING & CONSTRUCT...","ECON:200113105038044"
"BLDG19-8437","06/15/2020","COMMERCIAL","BUILDING","10367 FEDERAL BLVD","First Bank remodel - tenant to...","HAYS CONSTRUCTION CO INC","ECON:191211121737370"
"BL20-0030","06/11/2020","BUSINESS LICENSE","","8659 SHERIDAN BLVD","Yak & Yeti, Inc","","DHOR:200611032043216"
"BLDG19-7755","06/11/2020","RESIDENTIAL EXTERIOR","ADDITION","3442 WESTMINSTER PL","North, West Addition (250 sq f...","Home owner - Gerardo Garcia","EPRS:191104054658138"
"BL20-0028","06/09/2020","BUSINESS LICENSE","","10446 TOWN CENTER DR","BJ's Restaurant & Brewhouse","","DHOR:200609121856274"
"BL20-0029","06/09/2020","BUSINESS LICENSE","","14345 ORCHARD PKWY #100","Next Door American Eatery","","DHOR:200609122531310"
"BL20-0025","06/08/2020","BUSINESS LICENSE","","7243 FEDERAL BLVD #800","Bandoleros 2","","DHOR:200608121648237"
"BL20-0026","06/08/2020","BUSINESS LICENSE","","12910 ZUNI ST #1300","Frolic Brewing Company","","DHOR:200608123032291"
"BL20-0027","06/08/2020","BUSINESS LICENSE","","12011 PECOS ST","Park Center Lounge","","DHOR:200608123612338"
"BL20-0022","06/04/2020","BUSINESS LICENSE","","4301 MAIN ST #500","5280 Burger Bar","","DHOR:200604111526610"
"BL20-0023","06/04/2020","BUSINESS LICENSE","","10600 WESTMINSTER BLVD","Kachina Southwest Grill at the...","","DHOR:200604112028650"
"BL20-0024","06/04/2020","BUSINESS LICENSE","","14345 ORCHARD PKWY #200","Snooze an A.M. Eatery","","DHOR:200604112550712"
"BLDG18-1910","06/04/2020","RESIDENTIAL COUNTER","REROOF","4880 W 98TH AVE","Remove asphalt and replace wit...","COLORADO STATE ROOFING LLC","ECON:180426034133624"
"BLDG19-2292","06/04/2020","RESIDENTIAL COUNTER","REROOF","11815 BRADBURN BLVD","Re-roof Asphalt shingles, one ...","Michael McCarthy","ECON:190430121815906"
"BL20-0020","06/03/2020","BUSINESS LICENSE","","2345 W 112TH AVE","Hideaway Steak House","","DHOR:200603043006086"
"BL20-0021","06/03/2020","BUSINESS LICENSE","","9031 HARLAN ST","Lucero's #4 Restaurant & Taver...","","DHOR:200603043608144"
"BL20-0019","06/02/2020","BUSINESS LICENSE","","8931 HARLAN ST","Kokopelli Beer Company","","DHOR:200602015242016"
"BL20-0013","06/01/2020","BUSINESS LICENSE","","2835 W 72ND AVE","Sebra Inc dba Guadalajara Rest...","","DHOR:200601023603225"
"BL20-0014","06/01/2020","BUSINESS LICENSE","","2895 W 72ND AVE","Guadalajara Sports Bar","","DHOR:200601024631247"
"BL20-0015","06/01/2020","BUSINESS LICENSE","","14618 DELAWARE ST","Lazy Dog Restaurants, LLC","","DHOR:200601025432278"
"BL20-0016","06/01/2020","BUSINESS LICENSE","","8393 CHURCH RANCH BLVD","The Dessert Stand","","DHOR:200601025814295"
"BL20-0017","06/01/2020","BUSINESS LICENSE","","1885 W 120TH AVE","30/70 Sports Bar and Grill","","DHOR:200601030129316"
"BL20-0018","06/01/2020","BUSINESS LICENSE","","8050 FEDERAL BLVD","Rosita's Mexican Restaurant","","DHOR:200601030458338"
"BLDG19-8170","06/01/2020","COMMERCIAL","BUILDING","9675 W 108TH CIR","Ball AMC - Remodel of existing...","JORDY & COMPANY","ECON:191121033346746"
