X,Y,OBJECTID,FolderRSN,Permit_,InDate,FolderType,FolderDesc,FolderGroupDesc,SubDesc,FolderDescription,FolderCondition,IssueDate,valuation,PropertyRSN,PropX,PropY,Address,GlobalID,InDateFixed,IssueDateFixed,IssuedTime
3183366.21541806,1678794.39778489,475129671,1337286,NA,2018/12/11 10:47:07+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT C,2018/12/11 11:30:56+00,750,39895,3183366.21541806,1678794.39778489,12038 E KANSAS DR,{20E753CD-79A3-41FA-AB34-A932DABD782A},2018-12-11,2018-12-11,0
3183366.21541806,1678794.39778489,475129672,1337289,NA,2018/12/11 10:50:22+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT D,2018/12/11 10:52:16+00,750,39895,3183366.21541806,1678794.39778489,12038 E KANSAS DR,{FF4B11D7-9A5D-4254-9296-57F92F532510},2018-12-11,2018-12-11,0
3183366.21541806,1678794.39778489,475129673,1337291,NA,2018/12/11 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT G,2018/12/11 11:30:39+00,750,39895,3183366.21541806,1678794.39778489,12038 E KANSAS DR,{F3426B8B-8C89-4701-A4A2-FD83DD0FDD9A},2018-12-11,2018-12-11,0
3183038.56876364,1678717.58297789,475129674,1337292,NA,2018/12/11 10:51:05+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT N,2018/12/11 10:52:51+00,750,40062,3183038.56876364,1678717.58297789,11950 E KANSAS DR,{D67E453E-2082-4E12-A718-886B814B0EF9},2018-12-11,2018-12-11,0
3183366.21541806,1678794.39778489,475129675,1337293,NA,2018/12/11 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT A,2018/12/11 11:31:10+00,750,39895,3183366.21541806,1678794.39778489,12038 E KANSAS DR,{8D3BC628-A001-4F4B-8243-5F8E3F88B4AD},2018-12-11,2018-12-11,0
3183366.21541806,1678794.39778489,475129676,1337295,NA,2018/12/11 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT E,2018/12/11 11:31:32+00,750,39895,3183366.21541806,1678794.39778489,12038 E KANSAS DR,{11556DBA-4DFA-46E3-8FCC-AC39F7CBDA38},2018-12-11,2018-12-11,0
3183542.31119446,1678796.53098273,475129677,1337298,NA,2018/12/11 10:53:53+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT K,2018/12/11 10:57:22+00,750,39891,3183542.31119446,1678796.53098273,12098 E KANSAS DR,{76B13B0F-4B9F-489E-B8B2-3247C67ECE85},2018-12-11,2018-12-11,0
3183366.21541806,1678794.39778489,475129679,1337301,NA,2018/12/11 10:56:14+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT N,2018/12/11 10:58:43+00,750,39895,3183366.21541806,1678794.39778489,12038 E KANSAS DR,{9DC63823-EC72-4EC5-8667-546183B783DD},2018-12-11,2018-12-11,0
3183542.31119446,1678796.53098273,475129680,1337303,NA,2018/12/11 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT O,2018/12/11 10:59:22+00,750,39891,3183542.31119446,1678796.53098273,12098 E KANSAS DR,{DE09E81D-C8A7-45DA-9EA3-FCF3F2E7FCB9},2018-12-11,2018-12-11,0
3183366.21541806,1678794.39778489,475129681,1337304,NA,2018/12/11 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT J,2018/12/11 11:32:00+00,750,39895,3183366.21541806,1678794.39778489,12038 E KANSAS DR,{73D07404-08B5-4931-9EDF-B190B85BE4F3},2018-12-11,2018-12-11,0
3183038.56876364,1678717.58297789,475129682,1337307,NA,2018/12/11 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT O,2018/12/11 11:01:30+00,750,40062,3183038.56876364,1678717.58297789,11950 E KANSAS DR,{4A56961A-6F58-4A05-808B-A98898DF863B},2018-12-11,2018-12-11,0
3183011.62229522,1679097.37388498,475129683,1337310,NA,2018/12/11 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT P,2018/12/11 11:02:25+00,750,39323,3183011.62229522,1679097.37388498,11919 E KANSAS DR,{D8557ADD-0297-49EE-B882-231ED1C1C824},2018-12-11,2018-12-11,0
3183091.79930022,1678988.45776422,475129684,1337311,NA,2018/12/11 11:01:33+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT P,2018/12/11 11:04:38+00,750,39477,3183091.79930022,1678988.45776422,11959 E KANSAS DR,{54F4D8D7-4A1F-4656-B306-224499BB3495},2018-12-11,2018-12-11,0
3183038.56876364,1678717.58297789,475129685,1337312,NA,2018/12/11 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT K,2018/12/11 11:32:17+00,750,40062,3183038.56876364,1678717.58297789,11950 E KANSAS DR,{5B1C1C95-A40A-4EC8-A246-E8A1181341C2},2018-12-11,2018-12-11,0
3183011.62229522,1679097.37388498,475129686,1337313,NA,2018/12/11 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT L,2018/12/11 11:04:06+00,750,39323,3183011.62229522,1679097.37388498,11919 E KANSAS DR,{9B0F6641-5B79-402A-8C06-8CBA39DF5022},2018-12-11,2018-12-11,0
3183542.31119446,1678796.53098273,475129687,1337314,NA,2018/12/11 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT B,2018/12/11 11:04:30+00,750,39891,3183542.31119446,1678796.53098273,12098 E KANSAS DR,{DE4BFA0B-3754-42DF-9442-4D190F2FD2DC},2018-12-11,2018-12-11,0
3183091.79930022,1678988.45776422,475129688,1337315,NA,2018/12/11 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT T,2018/12/11 11:04:44+00,750,39477,3183091.79930022,1678988.45776422,11959 E KANSAS DR,{BBEF21EC-D4B3-479E-B47B-686569F7D789},2018-12-11,2018-12-11,0
3183542.31119446,1678796.53098273,475129689,1337316,NA,2018/12/11 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT F,2018/12/11 11:05:43+00,750,39891,3183542.31119446,1678796.53098273,12098 E KANSAS DR,{E94E0BF5-FB63-423C-9358-C9A8E94F6B1B},2018-12-11,2018-12-11,0
3182711.91488938,1679030.74573739,475129690,1337317,NA,2018/12/11 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT L,2018/12/11 11:06:42+00,750,39450,3182711.91488938,1679030.74573739,11910 E KANSAS DR,{3C349F9B-0DAA-4299-AB62-56982463A9BF},2018-12-11,2018-12-11,0
3183461.19849581,1678654.63625339,475129691,1337319,NA,2018/12/11 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT A,2018/12/11 11:09:26+00,750,40158,3183461.19849581,1678654.63625339,12068 E KANSAS DR,{FB1854C9-5659-42A3-9F45-D1B4329CD151},2018-12-11,2018-12-11,0
3183461.19849581,1678654.63625339,475129692,1337321,NA,2018/12/11 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT E,2018/12/11 11:10:55+00,750,40158,3183461.19849581,1678654.63625339,12068 E KANSAS DR,{9A07F78A-C83B-47D7-A579-C05DF7F46C85},2018-12-11,2018-12-11,0
3182711.91488938,1679030.74573739,475129693,1337324,NA,2018/12/11 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT P,2018/12/11 11:13:34+00,750,39450,3182711.91488938,1679030.74573739,11910 E KANSAS DR,{AAB25E0C-662F-4CF5-A894-2AEA99658131},2018-12-11,2018-12-11,0
3178573.59376971,1671845.64298165,475130242,1338882,NA,2018/12/20 14:04:57+00,LT,Limited Building Permit,Building,Commercial Miscellaneous,BUILDINGONLINE | Facade Renovation @ Havana Plaza,,2019/08/06 14:52:21+00,25000,56384,3178573.59376971,1671845.64298165,2200 S HAVANA ST,{F1A0BAB2-BEA6-4021-A05D-B615B43C0A9D},2018-12-20,2019-08-06,229
3178632.39417705,1671668.77653748,475131411,1343094,NA,2019/01/15 11:12:07+00,LT,Limited Building Permit,Building,Commercial Miscellaneous,"BUILDINGONLINE | Facade Renovation @ Havana Plaza  for 2222 Havana, separate permit was submitted for 2200 Havana",,2019/08/06 14:57:12+00,125000,56752,3178632.39417705,1671668.77653748,2222 S HAVANA ST,{48BAA716-9B03-482A-8A18-4DA8FE4BAFB6},2019-01-15,2019-08-06,203
3183542.31119446,1678796.53098273,475131923,1344797,NA,2019/01/24 12:11:23+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT A,2019/01/24 12:14:12+00,750,39891,3183542.31119446,1678796.53098273,12098 E KANSAS DR,{A0D36660-5E9D-481F-95FF-73B4F0BE8DF0},2019-01-24,2019-01-24,0
3183542.31119446,1678796.53098273,475131924,1344800,NA,2019/01/24 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT E,2019/01/24 12:17:25+00,750,39891,3183542.31119446,1678796.53098273,12098 E KANSAS DR,{93D7E2A4-CA13-4516-95E0-5773CB9D764A},2019-01-24,2019-01-24,0
3183461.19849581,1678654.63625339,475131925,1344801,NA,2019/01/24 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,"UNIT J
",2019/01/24 12:20:52+00,750,40158,3183461.19849581,1678654.63625339,12068 E KANSAS DR,{3B8F9DBC-DB13-4D06-9E63-E1EFB8C11DEF},2019-01-24,2019-01-24,0
3183461.19849581,1678654.63625339,475131926,1344802,NA,2019/01/24 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,"UNIT N
",2019/01/24 12:25:34+00,750,40158,3183461.19849581,1678654.63625339,12068 E KANSAS DR,{69FC5A24-1C30-4899-A071-F7D6B1702DBE},2019-01-24,2019-01-24,0
3183366.21541806,1678794.39778489,475131927,1344803,NA,2019/01/24 12:28:19+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT M,2019/01/24 12:33:41+00,750,39895,3183366.21541806,1678794.39778489,12038 E KANSAS DR,{9C4CB5E2-BEAD-4C31-8D8C-8FDA84426494},2019-01-24,2019-01-24,0
3183366.21541806,1678794.39778489,475131929,1344805,NA,2019/01/24 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT I,2019/01/24 12:33:22+00,750,39895,3183366.21541806,1678794.39778489,12038 E KANSAS DR,{D20F0668-8020-4360-993A-892A259C4890},2019-01-24,2019-01-24,0
3182711.91488938,1679030.74573739,475131930,1344807,NA,2019/01/24 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,"UNIT I
",2019/01/24 12:36:39+00,750,39450,3182711.91488938,1679030.74573739,11910 E KANSAS DR,{34094991-8697-427D-A740-964184D03CF5},2019-01-24,2019-01-24,0
3183011.62229522,1679097.37388498,475131931,1344809,NA,2019/01/24 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,"UNIT H
",2019/01/24 12:39:10+00,750,39323,3183011.62229522,1679097.37388498,11919 E KANSAS DR,{C3446006-3CBC-4CB5-B6DC-8F79DA918EF7},2019-01-24,2019-01-24,0
3183011.62229522,1679097.37388498,475131932,1344811,NA,2019/01/24 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,"UNIT D
",2019/01/24 12:41:08+00,750,39323,3183011.62229522,1679097.37388498,11919 E KANSAS DR,{B51B1DE9-5BD9-41F3-80EA-C37E9C11DFAB},2019-01-24,2019-01-24,0
3182711.91488938,1679030.74573739,475131933,1344812,NA,2019/01/24 00:00:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,"UNIT M
",2019/01/24 12:42:58+00,750,39450,3182711.91488938,1679030.74573739,11910 E KANSAS DR,{D0B6FE1A-3111-4550-97F1-E8A57356F639},2019-01-24,2019-01-24,0
3183461.19849581,1678654.63625339,475134401,1354076,NA,2019/03/12 09:06:31+00,CT,Counter Permit,Building,Commercial Miscellaneous,BUILDINGONLINE | PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT 68G,2019/03/19 15:35:13+00,750,40158,3183461.19849581,1678654.63625339,12068 E KANSAS DR,{7A619A54-38F2-432C-B438-DFEEDDD825E1},2019-03-12,2019-03-19,7
3182711.91488938,1679030.74573739,475134402,1354079,NA,2019/03/12 09:13:40+00,CT,Counter Permit,Building,Commercial Miscellaneous,BUILDINGONLINE | PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT 10J,2019/03/19 15:36:59+00,750,39450,3182711.91488938,1679030.74573739,11910 E KANSAS DR,{E49BFA79-04EF-4ADE-8F06-415C93E60FE3},2019-03-12,2019-03-19,7
3182711.91488938,1679030.74573739,475134407,1354084,NA,2019/03/12 09:20:58+00,CT,Counter Permit,Building,Commercial Miscellaneous,BUILDINGONLINE | PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT 10N,2019/03/19 15:35:51+00,750,39450,3182711.91488938,1679030.74573739,11910 E KANSAS DR,{D0D8626B-EB3C-462C-97A4-AD7AAD4C9FD6},2019-03-12,2019-03-19,7
3183461.19849581,1678654.63625339,475134408,1354085,NA,2019/03/12 09:27:44+00,CT,Counter Permit,Building,Commercial Miscellaneous,BUILDINGONLINE | PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT 68C,2019/03/19 15:36:28+00,750,40158,3183461.19849581,1678654.63625339,12068 E KANSAS DR,{A461884E-E699-4B9E-ABC9-7C347F507CE4},2019-03-12,2019-03-19,7
3183091.79930022,1678988.45776422,475135437,1356906,NA,2019/03/25 13:56:38+00,CT,Counter Permit,Building,Commercial Miscellaneous,BUILDINGONLINE | New Counter Permit for Master Permit VER-2 | CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT 59A,2019/04/04 15:03:19+00,750,39477,3183091.79930022,1678988.45776422,11959 E KANSAS DR,{879D8CBC-B8F2-43F5-9F96-44C754648FE7},2019-03-25,2019-04-04,10
3183091.79930022,1678988.45776422,475135439,1356908,NA,2019/03/25 13:58:42+00,CT,Counter Permit,Building,Commercial Miscellaneous,BUILDINGONLINE | New Counter Permit for Master Permit VER-2 | CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT 59E,2019/04/04 15:13:42+00,750,39477,3183091.79930022,1678988.45776422,11959 E KANSAS DR,{8ADCE866-1765-494B-B748-CA602A31920D},2019-03-25,2019-04-04,10
3183011.62229522,1679097.37388498,475135440,1356909,NA,2019/03/25 14:00:35+00,CT,Counter Permit,Building,Commercial Miscellaneous,BUILDINGONLINE | New Counter Permit for Master Permit VER-2 | CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT 19E,2019/04/04 15:05:22+00,750,39323,3183011.62229522,1679097.37388498,11919 E KANSAS DR,{31A48DF8-B035-481C-B9C8-73DF9B5D33B6},2019-03-25,2019-04-04,10
3183461.19849581,1678654.63625339,475135441,1356910,NA,2019/03/25 14:02:16+00,CT,Counter Permit,Building,Commercial Miscellaneous,BUILDINGONLINE | New Counter Permit for Master Permit VER-2 | CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT 68C,2019/04/23 13:59:03+00,750,40158,3183461.19849581,1678654.63625339,12068 E KANSAS DR,{1E55C365-EEA1-48FD-8521-72AC45C42976},2019-03-25,2019-04-23,29
3183011.62229522,1679097.37388498,475135448,1356922,NA,2019/03/25 14:19:51+00,CT,Counter Permit,Building,Commercial Miscellaneous,BUILDINGONLINE | New Counter Permit for Master Permit VER-2 CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT 19A,2019/04/04 15:14:45+00,750,39323,3183011.62229522,1679097.37388498,11919 E KANSAS DR,{733751BC-7883-41B1-B9A8-DFBA763F408A},2019-03-25,2019-04-04,10
3205093.02268614,1663382.30492148,475135560,1357355,NA,2019/03/27 09:43:59+00,LT,Limited Building Permit,Building,Commercial Miscellaneous,"BUILDINGONLINE | CIRCLE K #4052 COOLER REMODEL
ADDING NEW BEER CAVE/FREEZER, REMODEL EXISTING COOLER & ADD NEW SELF CONTAINED REACH-IN. ADD NEW BULK CO2 STORAGE CABINET",,2019/04/19 14:31:58+00,45000,72379,3205093.02268614,1663382.30492148,3504 S TOWER RD,{C2C1C899-E258-43A9-9981-AEB130C0ABDC},2019-03-27,2019-04-19,23
3179520.24935672,1668449.31119165,475136209,1359699,NA,2019/04/05 08:01:33+00,LT,Limited Building Permit,Building,Commercial Miscellaneous,BUILDINGONLINE |  FACE REMODEL,,2019/07/16 17:39:26+00,24000,63835,3179520.24935672,1668449.31119165,2727 S PARKER RD,{E5A8F837-9665-49BA-A30A-073D293B8242},2019-04-05,2019-07-16,102
3222331.78873347,1677068.82380822,475136498,1360682,NA,2019/04/10 09:20:49+00,LT,Limited Building Permit,Building,Commercial Miscellaneous,"BUILDINGONLINE | Murphy Creek HOA | CLUBHOUSE BATHROOMS REMODEL

",,2019/04/15 11:55:23+00,78000,102377,3222331.78873347,1677068.82380822,23801 E FLORIDA AVE,{4C00C8A2-C380-4A41-895C-D3D571456AB6},2019-04-10,2019-04-15,5
