"Permit.Number","Applied","Approved","Issued.Date","Finaled","Expired","Permit.Type","Permit.Sub.Type","Status","Subdivision","Address","Description","Job.Value","CO.Issued.Date","Contractor.Name","RECORDID"
"CMIS22-00231","11/16/2022","11/16/2022","11/23/2022","12/12/2022","","COMMMISC","MECHANICAL","FINALED","WESTDALE TOWNHOMES","7968 CHASE CIR 89","Replace furnace 80 % eff/45k B...",18242,"","FIX-IT GROUP LLC","MR:2211160242451337"
"CMIS22-00228","11/15/2022","11/15/2022","11/18/2022","12/02/2022","","COMMMISC","PLUMBING","FINALED","LAKE ARBOR TOWNHOMES","8737 CHASE DR 150","INSTALL 40 GAL GAS 40BTU WATER...",2715,"","SQUEAKS SERVICES","MR:2211150114031052"
"CMIS22-00226","11/14/2022","11/15/2022","11/16/2022","","05/28/2023","COMMMISC","MECHANICAL","EXPIRED","SHOPS ON WADSWORTH SUBDIVISION","6680 WADSWORTH BLVD A","FURNACE REPLACEMENT 120K BTU, ...",8000,"","VECTRA MECHANICAL","AH:2211140333521436"
"CMIS22-00224","11/11/2022","11/11/2022","09/14/2023","09/18/2023","","COMMMISC","MECHANICAL","FINALED","WESTDALE TOWNHOMES","7908 CHASE CIR 138","REPLACE 50K BTU 80% FURNACE",4029.5,"","ARS / RESCUE ROOTER","AH:2211110958060426"
"CMIS22-00225","11/11/2022","11/11/2022","11/18/2022","02/03/2023","","COMMMISC","PLUMBING","FINALED","CONDOMINIUM MAP FOR TIMBERCOVE...","8481 EVERETT WAY D","TUB TO SHOWER",2944,"","WEST SHORE HOME, LLC","AH:2211111148590807"
"CMIS22-00223","11/09/2022","11/09/2022","11/14/2022","","05/13/2023","COMMMISC","PLUMBING","EXPIRED","SKYLINE ESTATES FILING NO. 1 -...","10149 W 55TH DR 103","40 GAL GAS WATER HEATER",4600,"","AAA SERVICE PLUMBING LLC","AH:2211091158210669"
"CMIS22-00222","11/08/2022","11/08/2022","11/09/2022","11/11/2022","","COMMMISC","PLUMBING","FINALED","KIMBROUGH RIDGE","8665 W 62ND AVE","100 GAL W/H , 84K BTU",6000,"","PLUMB PROS INC","AH:2211081128250748"
"CMIS22-00221","11/04/2022","11/04/2022","11/04/2022","11/17/2022","","COMMMISC","PLUMBING","FINALED","VILLAGE OF FIVE PARKS FILING N...","13990 W 83RD PL C","40 GAL WATER HEATER REPLACEMEN...",1600,"","EURO PLUMBING LLC","MR:2211040328410937"
"CMIS22-00219","10/31/2022","10/31/2022","11/07/2022","","05/06/2023","COMMMISC","PLUMBING","EXPIRED","WESTDALE TOWNHOMES","7957 CHASE CIR 190","Install a 40 gal gas hot water...",1500,"","ARS / RESCUE ROOTER","MR:2210310230450934"
"CMIS22-00218","10/28/2022","10/28/2022","11/04/2022","03/03/2023","","COMMMISC","PLUMBING","FINALED","WESTDALE TOWNHOMES","7991 CHASE CIR 36","INSTALL 40 GAL GAS WATER HEATE...",1500,"","ARS / RESCUE ROOTER","AH:2210280349161216"
"CMIS22-00212","10/19/2022","10/19/2022","03/13/2023","04/20/2023","","COMMMISC","PLUMBING","FINALED","ARVADA RIDGE, 5TH AMENDMENT","10057 W 52ND PL 202","Replace gas water heater R/R 4...",3627.72,"","QUALITY 1ST PLUMBING HEATING A...","MR:2210191210050618"
"CMIS22-00213","10/19/2022","11/03/2022","12/08/2022","03/07/2023","","COMMMISC","MECHANICAL","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7883 ALLISON WAY 101","Replace furnace 40k BTU, 95% &...",11295,"","CO SERVICE TECHS DBA EFFICIENT...","MR:2210190101220765"
"CMIS22-00211","10/14/2022","10/14/2022","11/11/2022","11/11/2022","","COMMMISC","MECHANICAL","FINALED","VAN VOORHIS SUBDIVISION","8101 RALSTON RD","DEMO EXISTING BOILER REPLACE W...",145537,"","DUCTS UNLIMITED MECH SYSTEMS","DRO:2210141255020744"
"CMIS22-00210","10/13/2022","10/13/2022","03/13/2023","04/20/2023","","COMMMISC","PLUMBING","FINALED","ARVADA RIDGE, 3RD AMENDMENT","10228 W 52ND PL 310","REPLACE WATER HEATER 48 GAL 65...",3862.11,"","QUALITY 1ST PLUMBING HEATING A...","DRO:2210130401581215"
"CMIS22-00207","10/07/2022","10/10/2022","10/18/2022","11/02/2022","","COMMMISC","PLUMBING","FINALED","THE OAKS CONDOMINIUMS","8467 EVERETT WAY E","Install of expansion tank/port...",300,"","KEATING PIPEWORKS INC","ECON:221007084042366"
"CMIS22-00203","10/05/2022","10/16/2022","10/24/2022","11/15/2022","","COMMMISC","MECHANICAL","FINALED","ALLENDALE Twelfth Filing","6350 UNION ST","Converting owners wood burning...",3000,"","THE GAS CONNECTION INC","DRO:2210050334351232"
"CMIS22-00204","10/05/2022","10/16/2022","10/24/2022","11/15/2022","","COMMMISC","MECHANICAL","FINALED","ALLENDALE Twelfth Filing","6348 UNION ST","Converting owners wood burning...",3000,"","THE GAS CONNECTION INC","DRO:2210050338181255"
"CMIS22-00205","10/05/2022","10/16/2022","10/24/2022","11/15/2022","","COMMMISC","MECHANICAL","FINALED","ALLENDALE Twelfth Filing","6352 UNION ST","Converting owners wood burning...",3000,"","THE GAS CONNECTION INC","DRO:2210050339261276"
"CMIS22-00206","10/05/2022","10/16/2022","10/24/2022","11/15/2022","","COMMMISC","MECHANICAL","FINALED","ALLENDALE Twelfth Filing","6354 UNION ST","Converting owners wood burning...",3000,"","THE GAS CONNECTION INC","DRO:2210050340111292"
"CMIS22-00201","10/04/2022","10/04/2022","10/05/2022","","04/03/2023","COMMMISC","PLUMBING","EXPIRED","RALSTON SQUARE SHOPPING CENTER...","12312 W 64TH AVE","REPLACE WATER HEATER WITH 75 G...",4500,"","BLUE SKY PLUMBING","AH:2210040248550866"
"CMIS22-00200","09/29/2022","09/29/2022","09/29/2022","","03/28/2023","COMMMISC","MECHANICAL","EXPIRED","LUNA MINOR SUBDIVISION","6315 SHERIDAN BLVD","Replace RTU like for like",10000,"","JACK MICEK HEATING & COOLING","ECON:220929074332080"
"CMIS22-00197","09/23/2022","09/23/2022","09/26/2022","10/19/2022","","COMMMISC","MECHANICAL","FINALED","ARVADA WATER TOWER DISTRICT","5424 ZEPHYR ST 203","REPLACE AC WITH 2 TON 13 SEER ",7158,"","COOPER HEATING & COOLING INC","DRO:2209230321030975"
"CMIS22-00199","09/23/2022","09/23/2022","09/26/2022","11/16/2022","","COMMMISC","MECHANICAL","FINALED","THE GRACE PLACE","10785 W 63RD PL 108","REPLACE FURNACE 50K BTU 80%",4000,"","WN, LLC DBA WIRENUT HOME SERVI...","DRO:2209230410411168"
"CMIS22-00195","09/19/2022","09/19/2022","09/20/2022","","03/19/2023","COMMMISC","PLUMBING","EXPIRED","ARVADA RIDGE, 5TH AMENDMENT","10117 W 52ND PL 302","48G, 65K WATER HEATER",3286.21,"","QUALITY 1ST PLUMBING HEATING A...","AH:2209190931030402"
"CMIS22-00189","09/02/2022","09/02/2022","09/02/2022","","03/01/2023","COMMMISC","PLUMBING","EXPIRED","CONDOMINIUM MAP FOR TIMBERCOVE...","8448 EVERETT WAY B","Replace existing water heater ...",2000,"","LAKEWOOD PLUMBING LLC","DRO:2209020835090163"
"CMIS22-00183","08/25/2022","08/25/2022","09/15/2022","12/30/2022","","COMMMISC","PLUMBING","FINALED","ARVADA WATER TOWER DISTRICT","5425 ZEPHYR ST 203","INSTALL 40 GAL GAS WATER HEATE...",2822,"","AAA SERVICE PLUMBING LLC","AH:2208251033450311"
"CMIS22-00179","08/18/2022","08/19/2022","08/22/2022","","03/08/2023","COMMMISC","MECHANICAL","EXPIRED","","6820 W 66TH AVE","Boiler Install",30500,"","TORREYS PEAK MECHANICAL INC","ECON:220818075442335"
"CMIS22-00178","08/17/2022","08/18/2022","09/08/2022","","03/07/2023","COMMMISC","MECHANICAL","EXPIRED","WOODLAND HILLS","6420 WARD RD","Install 2 4 ton RTU & ducts",24586,"","GO GREEN HEATING & A/C","ECON:220817080447029"
"CMIS22-00177","08/16/2022","08/17/2022","08/22/2022","","09/13/2023","COMMMISC","MECHANICAL","EXPIRED","WESTWOODS SHOPPING CENTER FILI...","15400 W 64TH AVE E7","Replace 1 existing Trane 7.5-t...",13875,"","CONDITIONED AIR CORP","ECON:220816012625074"
"CMIS22-00175","08/12/2022","08/12/2022","08/12/2022","","02/08/2023","COMMMISC","MECHANICAL","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7899 ALLISON WAY 204","REPLACE 80%, 60 BTU FURNANCE, ...",10750,"","TICO HVAC LLC","AH:2208120813270136"
"CMIS22-00172","08/09/2022","08/09/2022","08/10/2022","","02/14/2023","COMMMISC","MECHANICAL","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7889 ALLISON WAY 301","FURNACE RHEEM SINGLE STAGE ",2500,"","WATERWORKS PLUMBING & HEATING","DRO:2208090136291326"
"CMIS22-00173","08/09/2022","08/09/2022","08/26/2022","","02/22/2023","COMMMISC","PLUMBING","EXPIRED","THE GRACE PLACE AMENDED FILING...","6350 OAK ST 102","Install 40 gallon gas 36,000 b...",2244.85,"","SQUEAKS SERVICES","JSUK:220809041558890"
"CMIS22-00167","08/08/2022","08/08/2022","08/08/2022","","05/15/2023","COMMMISC","PLUMBING","EXPIRED","NORTHRIDGE SHOPPING CENTER - S...","7947 WADSWORTH BLVD"," INSTALL 50 GAL, 208 VOLT, 3 P...",10399,"","BROTHERS PLUMBING & HEATING IN...","AH:2208080843200166"
"CMIS22-00168","08/08/2022","08/08/2022","08/12/2022","","02/08/2023","COMMMISC","MECHANICAL","EXPIRED","ARVADA RIDGE, 5TH AMENDMENT","10357 W 52ND PL 211","REPLACED 13 SEER A/C UNIT",5638,"","QUALITY 1ST PLUMBING HEATING A...","AH:2208080855230239"
"CMIS22-00169","08/08/2022","08/08/2022","08/16/2022","","02/12/2023","COMMMISC","MECHANICAL","EXPIRED","ARVADA RIDGE, 5TH AMENDMENT","10357 W 52ND PL 111","REPLACED 13 SEER, 2 TON A/C UN...",5862,"","QUALITY 1ST PLUMBING HEATING A...","AH:2208080904510293"
"CMIS22-00170","08/08/2022","08/08/2022","08/10/2022","","02/06/2023","COMMMISC","PLUMBING","EXPIRED","ARVADA RIDGE, 3RD AMENDMENT","10268 W 52ND PL 209","REPLACE 48 GAL, 65K BTU WATER ...",2650,"","QUALITY 1ST PLUMBING HEATING A...","AH:2208080909230321"
"CMIS22-00166","08/03/2022","08/03/2022","08/12/2022","11/30/2022","","COMMMISC","PLUMBING","FINALED","SKYLINE ESTATES FILING NO. 1 -...","5534 LEWIS ST 206","REPLACE 55 GAL GAS WATER HEATE...",3313.5,"","DOCTOR FIX-IT HTG, COOLING & E...","AH:2208030332121509"
"CMIS22-00163","08/02/2022","08/02/2022","08/02/2022","08/03/2022","","COMMMISC","PLUMBING","FINALED","CUB SQUARE","8055 SHERIDAN BLVD","REPLACE LIKE FOR LIKE WATER HE...",24780.18,"","KRAUS & COMPANY JETTING INC","DRO:2208021239150814"
"CMIS22-00164","08/02/2022","08/02/2022","08/12/2022","","02/08/2023","COMMMISC","PLUMBING","EXPIRED","ARVADA RIDGE, 3RD AMENDMENT","10188 W 52ND PL 203","REMOVE AND REPLACE WATER HEATE...",2301.89,"","QUALITY 1ST PLUMBING HEATING A...","DRO:2208020158381086"
"CMIS22-00161","08/01/2022","08/05/2022","08/12/2022","","02/08/2023","COMMMISC","MECHANICAL","EXPIRED","ARVADA RIDGE, 3RD AMENDMENT","10338 W 52ND PL 101","REMOVE AND REPLACE AC  2TON 13...",2301.89,"","QUALITY 1ST PLUMBING HEATING A...","DRO:2208010132551096"
"CMIS22-00162","08/01/2022","08/02/2022","04/11/2023","","10/30/2023","COMMMISC","MECHANICAL","ISSUED","ARVADA VILLAGE CENTER SUBDIVIS...","5804 WARD RD","Replacing (2) existing RTU's",24000,"","VECTRA MECHANICAL","ECON:220801020048853"
"CMIS22-00160","07/28/2022","08/04/2022","08/05/2022","08/10/2022","","COMMMISC","PLUMBING","FINALED","WILD GRASS COMMERCIAL FILING N...","8790 INDIANA ST","REPLACEMENT OF 50 GAL ELECTRIC...",3509.16,"","BLAIR FACILITY MAINTENANCE","DRO:2207280937590403"
"CMIS22-00134","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 1","RTU",4000,"","PLANET ROOFING & SOLAR","ECON:220722080326350"
"CMIS22-00135","07/22/2022","12/02/2022","08/12/2022","","05/30/2023","COMMMISC","MECHANICAL","EXPIRED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 11","3 TON - RTU",4000,"","PLANET ROOFING & SOLAR","ECON:220722081141215"
"CMIS22-00136","07/22/2022","12/02/2022","08/12/2022","","05/30/2023","COMMMISC","MECHANICAL","EXPIRED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 12","RTU 3 TON REPLACEMENT",4000,"","PLANET ROOFING & SOLAR","ECON:220722081439417"
"CMIS22-00137","07/22/2022","11/28/2022","08/12/2022","","05/30/2023","COMMMISC","MECHANICAL","EXPIRED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 13","RTU 3 TON REPLACEMENT",4000,"","PLANET ROOFING & SOLAR","ECON:220722083726202"
"CMIS22-00138","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 14","RTU 4 TON REPLACEMENT LIKE FOR...",5000,"","PLANET ROOFING & SOLAR","ECON:220722084447703"
"CMIS22-00139","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 2","RTU 4 TON REPLACEMENT LIKE FOR...",5000,"","PLANET ROOFING & SOLAR","ECON:220722085001129"
"CMIS22-00140","07/22/2022","12/02/2022","08/12/2022","","05/30/2023","COMMMISC","MECHANICAL","EXPIRED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 3","RTU 4 TON REPLACEMENT LIKE FOR...",5000,"","PLANET ROOFING & SOLAR","ECON:220722085228299"
"CMIS22-00141","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 4","RTU 4 TON REPLACEMENT LIKE FOR...",5000,"","PLANET ROOFING & SOLAR","ECON:220722093840753"
"CMIS22-00142","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 5","RTU 4 TON REPLACEMENT LIKE FOR...",5000,"","PLANET ROOFING & SOLAR","ECON:220722094411181"
"CMIS22-00143","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 6","RTU 4 TON REPLACEMENT LIKE FOR...",5000,"","PLANET ROOFING & SOLAR","ECON:220722103915560"
"CMIS22-00144","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 7","RTU 4 TON REPLACEMENT LIKE FOR...",5000,"","PLANET ROOFING & SOLAR","ECON:220722104154742"
"CMIS22-00145","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 7","RTU 4 TON REPLACEMENT LIKE FOR...",5000,"","PLANET ROOFING & SOLAR","ECON:220722115319260"
"CMIS22-00146","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE","RTU 4 TON REPLACEMENT LIKE FOR...",5000,"","PLANET ROOFING & SOLAR","ECON:220722115759575"
"CMIS22-00147","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 11","RTU 4 TON REPLACEMENT LIKE FOR...",5000,"","PLANET ROOFING & SOLAR","ECON:220722120903446"
"CMIS22-00148","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 11","RTU 4 TON REPLACEMENT LIKE FOR...",5000,"","PLANET ROOFING & SOLAR","ECON:220722121120602"
"CMIS22-00149","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 12","RTU 7.5 TON REPLACEMENT LIKE F...",6000,"","PLANET ROOFING & SOLAR","ECON:220722121546888"
"CMIS22-00150","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 13","RTU 7.5 TON REPLACEMENT LIKE F...",6000,"","PLANET ROOFING & SOLAR","ECON:220722121913209"
"CMIS22-00151","07/22/2022","12/02/2022","08/12/2022","","09/26/2023","COMMMISC","MECHANICAL","ISSUED","THE MEADOWS AT WESTWOODS RANCH...","16255 W 64TH AVE 14","RTU 5 TON REPLACEMENT LIKE FOR...",5500,"","PLANET ROOFING & SOLAR","ECON:220722122123355"
"CMIS22-00152","07/22/2022","07/22/2022","07/25/2022","","01/29/2023","COMMMISC","MECHANICAL","EXPIRED","LAKE ARBOR TOWNHOMES","6936 W 87TH WAY 250","install 2 ton ac with air hand...",9622,"","COFFMAN & COMPANY HEATING AND ...","JSUK:220722124322782"
"CMIS22-00153","07/22/2022","07/22/2022","07/26/2022","","01/22/2023","COMMMISC","MECHANICAL","EXPIRED","FOUR ACRE LAKE","9159 W 50TH LN 203","REPLACE FURNACE AND AC",11250,"","SWAN HEATING & AIR OF DENVER","JSUK:220722011125844"
"CMIS22-00132","07/21/2022","07/22/2022","08/01/2022","","01/28/2023","COMMMISC","PLUMBING","EXPIRED","CUB SQUARE SECOND REPLAT","5225 W 80TH AVE A","Water Heater Swap",16500,"","A BETTER SEWER INSPECTION LLC","ECON:220721123631587"
"CMIS22-00130","07/20/2022","07/20/2022","07/20/2022","","01/16/2023","COMMMISC","MECHANICAL","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7825 ALLISON WAY 207","1.5 TON 13 SEER A/C, 40K , 80%...",5500,"","COPPER MECHANICAL LLC","AH:2207200856520349"
"CMIS22-00131","07/20/2022","07/20/2022","07/30/2022","","01/26/2023","COMMMISC","MECHANICAL","EXPIRED","SKYLINE ESTATES FILING NO. 1 -...","5537 LEWIS CT 004","HOT WATER FAN COIL AND CONDENS...",10289,"","AAA SERVICE PLUMBING LLC","JSUK:220720032450323"
"CMIS22-00128","07/15/2022","07/15/2022","07/20/2022","","01/16/2023","COMMMISC","MECHANICAL","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7825 ALLISON WAY 204","1.5T, 13 SEER A/C AND 40K, 80%...",5500,"","COPPER MECHANICAL LLC","AH:2207150953360225"
"CMIS22-00125","07/13/2022","07/13/2022","07/13/2022","08/01/2022","","COMMMISC","PLUMBING","FINALED","THE GRACE PLACE AMENDED FILING...","6350 OAK ST 304","INSTALL 40 GAL WATER HEATER",2346,"","COFFMAN & COMPANY HEATING AND ...","AH:2207131040040677"
"CMIS22-00126","07/13/2022","07/13/2022","07/13/2022","","01/09/2023","COMMMISC","PLUMBING","EXPIRED","CONDOMINIUM MAP FOR TIMBERCOVE...","8456 EVERETT WAY E","INSTALL 40 GAL, 40K BTU WATER ...",3922,"","APPLEWOOD PLMB, HTG & ELEC","AH:2207131051060725"
"CMIS22-00124","07/11/2022","07/11/2022","07/11/2022","","04/16/2023","COMMMISC","MECHANICAL","EXPIRED","GRAFF MINOR SUBDIVISION","10734 W 63RD PL 205","REPLACE 60 BTUM 80%, 2 TON A/C",6000,"","MAC VIK PLUMBING & HEATING","AH:2207110844440195"
"CMIS22-00123","07/06/2022","07/07/2022","07/14/2022","","01/10/2023","COMMMISC","MECHANICAL","EXPIRED","PARK CENTER/CANNON MINOR PLAT","8795 RALSTON RD","Replacing 7.5ton RTU for Unit#...",20000,"","RYCO ENTERPRISES LLC","ECON:220706123702172"
"CMIS22-00119","07/01/2022","07/01/2022","08/12/2022","","02/08/2023","COMMMISC","MECHANICAL","EXPIRED","ARVADA RIDGE, 3RD AMENDMENT","10268 W 52ND PL 204","2.5 TON AIR CONDITIONER AND FI...",8620,"","QUALITY 1ST PLUMBING HEATING A...","AH:2207010817020084"
"CMIS22-00121","07/01/2022","07/01/2022","07/01/2022","","02/15/2023","COMMMISC","MECHANICAL","EXPIRED","OGILVIE SUBDIVISION","5801 BALSAM PL","REPLACEMENT EVAPORATIVE COOLER",7000,"","SANCHEZ ARTHUR","DRO:2207011219590682"
"CMIS22-00110","06/17/2022","06/17/2022","06/27/2022","07/01/2022","","COMMMISC","PLUMBING","FINALED","SHOPS ON WADSWORTH SUBDIVISION","6620 WADSWORTH BLVD","SET UP CONTAINMENT AND JACK HA...",2500,"","SAFE INVESTMENT SEWER & DRAIN","DRO:2206170410131380"
"CMIS22-00108","06/15/2022","06/15/2022","08/12/2022","","02/08/2023","COMMMISC","MECHANICAL","EXPIRED","ARVADA RIDGE, 3RD AMENDMENT","10298 W 52ND PL 201","REPALCE 13 SEER , 2 TON A/C",4684,"","QUALITY 1ST PLUMBING HEATING A...","AH:2206150133590838"
"CMIS22-00106","06/10/2022","06/10/2022","06/10/2022","03/24/2023","","COMMMISC","MECHANICAL","FINALED","ARBOR VILLAGE FILING NO. 1 FIN...","8410 WADSWORTH BLVD B","REPLACE ROOF TOP AC LIKE FOR L...",20515,"","BRUCE MECHANICAL OF CO, INC","DRO:2206101256440861"
"CMIS22-00104","06/07/2022","06/08/2022","06/10/2022","","12/07/2022","COMMMISC","MECHANICAL","EXPIRED","RAINBOW RIDGE OFFICE PARK LOT ...","5610 WARD RD 300","Replace two 40-ton Roof Top Un...",205078,"","ROGERS & SONS INC","ECON:220607024251182"
"CMIS22-00102","06/02/2022","06/02/2022","06/06/2022","06/08/2022","","COMMMISC","PLUMBING","FINALED","YARROW GARDENS","7952 OBERON RD D","SEWER REPAIR UNDER FLOOR OF UN...",4250,"","APEX PLUMBING INC","AH:2206021131300834"
"CMIS22-00103","06/02/2022","06/02/2022","08/12/2022","","02/08/2023","COMMMISC","MECHANICAL","EXPIRED","","5383 CARR ST 217","A/C, FURNACE AND EVAP COOLER",5500,"","COPPER MECHANICAL LLC","AH:2206020230011594"
"CMIS22-00099","05/31/2022","05/31/2022","05/31/2022","","02/11/2023","COMMMISC","PLUMBING","EXPIRED","KUSHNER KORNER SUBDIVISION","12380 RALSTON RD","CLOSET INTO POWER BATH, W/H, D...",5000,"","LOGISTICS PLUMBING & HTG CO","AH:2205311059280731"
"CMIS22-00100","05/31/2022","05/31/2022","05/31/2022","","11/27/2022","COMMMISC","PLUMBING","EXPIRED","CLUB CREST CONDOMINIUMS PH 4 T...","7897 ALLISON WAY 203","INSTALL 40 GAL GAS WATER HEATE...",1500,"","ARS / RESCUE ROOTER","AH:2205311142010947"
"CMIS22-00101","05/31/2022","05/31/2022","08/12/2022","","02/08/2023","COMMMISC","PLUMBING","EXPIRED","ARVADA RIDGE, 5TH AMENDMENT","10237 W 52ND PL","REMOVED REPLACE 48 GAL 65K BTU...",2725,"","QUALITY 1ST PLUMBING HEATING A...","DRO:2205310351451895"
"CMIS22-00092","05/26/2022","05/26/2022","05/26/2022","08/25/2022","","COMMMISC","MECHANICAL","FINALED","KUSHNER KORNER SUBDIVISION","12380 RALSTON RD","REPLACE AC 30K BTU & (2) FURNA...",20000,"","CRESPIN MECHANICAL INC","DRO:2205260850360247"
"CMIS22-00091","05/25/2022","05/25/2022","05/25/2022","","11/21/2022","COMMMISC","MECHANICAL","EXPIRED","A REPLAT OF CLUB CREST CONDOMI...","7825 ALLISON WAY 203","REPLACE AC 13 SEER 1.5 TON AND...",5500,"","COPPER MECHANICAL LLC","DRO:2205251213520757"
"CMIS22-00089","05/24/2022","05/24/2022","05/25/2022","","11/21/2022","COMMMISC","MECHANICAL","EXPIRED","VILLAGE FOUR-PLEXES OF ARVADA ...","10253 W 80TH DR D","NEW AC 16 SEER 2 TON ",6983,"","COOPER HEATING & COOLING INC","DRO:2205241105380763"
