"Permit Number","Applied","Approved","Issued Date","Finaled","Expired","Permit Type","Permit Sub Type","Status","Subdivision","Address","Description","Job Value","CO Issued Date","Contractor Name","RECORDID"
"CMIS23-00184","07/19/2023","07/20/2023","08/01/2023","08/02/2023","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","CUB SQUARE","8055 SHERIDAN BLVD","Extend nearby 120v circuit to ...","1450","","HD ELECTRIC SERVICE","ECON:230719120231156"
"CMIS23-00185","07/19/2023","08/09/2023","07/20/2023","","01/23/2024","COMMERCIAL ELECTRICAL","METER HOUSING ONLY","APPROVED","","9382 UMBER WAY","ADDRESS NEEDED Meter and Loadc...","3500","","CONSTANT ELECTRIC SERVICE LLC","ECON:230719123318073"
"CMIS23-00181","07/18/2023","07/19/2023","07/19/2023","07/20/2023","","COMMERCIAL MECHANICAL","","FINALED","WESTDALE TOWNHOMES","7986 CHASE CIR 64","swap furnace and ac unit","16241","","FIX-IT GROUP LLC","ECON:230718080835127"
"CMIS23-00179","07/14/2023","07/17/2023","07/18/2023","08/18/2023","","COMMERCIAL PLUMBING","","FINALED","LAKE ARBOR TOWNHOMES","6911 W 87TH WAY 299","40 GAL 40K BTU GAS WATER HEATE...","3376","","PLUMBLINE SERVICES LLC","ECON:230714023313194"
"CMIS23-00178","07/12/2023","07/13/2023","07/17/2023","","01/13/2024","COMMERCIAL MECHANICAL","","INCOMPLT SUBMITTAL","ARVADA WEST TOWN CENTER FIRST ...","14575 W 64TH AVE B","Replace like for like RTU with...","28000","","MAJOR HEATING & AC","ECON:230712090159125"
"CMIS23-00177","07/11/2023","07/11/2023","07/12/2023","07/20/2023","","COMMERCIAL MECHANICAL","","FINALED","WEST WOODS VILLAS","15234 W 63RD AVE 204","Furnace and AC replacement","14000","","LAKESIDE HEATING & A/C INC","IRO:2307110224211323"
"CMIS23-00173","07/07/2023","07/07/2023","07/07/2023","09/07/2023","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","MEADOWS COMMERICIAL CONDOMINIU...","8070 W 80TH AVE","Underground conduit for future...","5000","","Matzen Electric","ECON:230707021249146"
"CMIS23-00174","07/07/2023","07/10/2023","07/10/2023","07/13/2023","","COMMERCIAL PLUMBING","","FINALED","","7195 SIMMS ST","interior repair of sewer line ...","8000","","APEX PLUMBING INC","ECON:230707065833213"
"CMIS23-00170","07/05/2023","07/07/2023","07/07/2023","08/01/2023","","COMMERCIAL MECHANICAL","","FINALED","SKYLINE ESTATES FILING NO. 1 -...","10148 W 55TH DR 204","Replacement of Furnace/AC","15000","","ELKHORN TECHNICAL RESOURCES, I...","ECON:230705024333179"
"CMIS23-00169","07/03/2023","07/03/2023","07/03/2023","","01/14/2024","COMMERCIAL MECHANICAL","","ISSUED","LAKE ARBOR TOWNHOMES","8784 CHASE DR 31","Like for Like AC replacement","5650","","DONE SERVICE GROUP INC","ECON:230703100409188"
"CMIS23-00167","06/29/2023","06/30/2023","06/30/2023","","12/27/2023","COMMERCIAL PLUMBING","","ISSUED","ARVADA WATER TOWER DISTRICT","7733 W 55TH AVE 101","Remove and reinstall gas water...","795","","ENDURANCE PLUMBING","ECON:230629030206065"
"CMIS23-00164","06/28/2023","06/29/2023","06/29/2023","08/14/2023","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","WESTDALE TOWNHOMES","7948 CHASE CIR 107","REPLACE DISCONNECT","629","","WN, LLC DBA WIRENUT HOME SERVI...","ECON:230628082425124"
"CMIS23-00165","06/28/2023","07/03/2023","07/17/2023","","01/13/2024","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","ISSUED","","9597 W 58TH PL","Metered Service, Site Lighting...","48850","","C&R ELECTRICAL CONTRACTORS INC","ECON:230628021057267"
"CMIS23-00166","06/28/2023","06/29/2023","06/29/2023","","12/27/2023","COMMERCIAL PLUMBING","","ISSUED","PALMETTO CLUB","5390 W 80TH AVE","Water Heater","1000","","PATTON PLUMBING SERVICE LLC","ECON:230628071002155"
"CMIS23-00163","06/27/2023","06/28/2023","06/28/2023","","01/24/2024","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","ISSUED","","7840 CARR DR","13 NEW LIGHT POLES WITH POWER ...","135380","","LAKEWOOD ELECTRIC CO INC","ECON:230627012242091"
"CMIS23-00160","06/26/2023","06/27/2023","07/05/2023","","01/01/2024","COMMERCIAL MECHANICAL","","ISSUED","CHERRY RIDGE SUBDIVISION","5592 INDEPENDENCE ST","Boiler & RTU Replace","183667","","COLORADO MECHANICAL SYSTEMS IN...","ECON:230626022240114"
"CMIS23-00161","06/26/2023","06/27/2023","06/27/2023","","12/24/2023","COMMERCIAL PLUMBING","","ISSUED","LAKE ARBOR TOWNHOMES","8768 CHASE DR 61","Install a 50 gallon gas hot wa...","1500","","ARS / RESCUE ROOTER","MR:2306260303391151"
"CMIS23-00158","06/22/2023","06/27/2023","07/05/2023","","01/01/2024","COMMMISC","SALES AND CONST TRAILER","ISSUED","","7902 CARR DR","Construction Trailer","1401236","","SAUNDERS CONSTRUCTION LLC","ECON:230622011531657"
"CMIS23-00159","06/22/2023","06/22/2023","06/22/2023","","12/24/2023","COMMERCIAL PLUMBING","","ISSUED","VAN VOORHIS SUBDIVISION","7711 RALSTON RD","Installation of ejector pump i...","4000","","APEX PLUMBING INC","AH:2306220155161027"
"CMIS23-00156","06/21/2023","06/23/2023","06/23/2023","","12/20/2023","COMMERCIAL MECHANICAL","","ISSUED","CONDOMINIUM MAP FOR TIMBERCOVE...","8449 EVERETT WAY A","swap furnace and ac unit","19743","","FIX-IT GROUP LLC","ECON:230621120425069"
"CMIS23-00157","06/21/2023","07/03/2023","07/05/2023","07/11/2023","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","MARSHALLS INDIAN TREE CENTER","7705 WADSWORTH BLVD A1","Replace existing panel for new...","16000","","SPECIALIZED ELECTRIC CO","ECON:230621121804108"
"CMIS23-00153","06/19/2023","06/26/2023","07/10/2023","","01/06/2024","COMMERCIAL PLUMBING","","ISSUED","LAKE ARBOR TOWNHOMES","8756 CHASE DR 78","replace water heater gas","3830","","FIX-IT GROUP LLC","ECON:230619092226973"
"CMIS23-00154","06/19/2023","06/20/2023","06/22/2023","06/23/2023","","COMMERCIAL MECHANICAL","","FINALED","ARVADA WATER TOWER DISTRICT","5420 ALLISON ST 101","replace furnace and A/C","9000","","A 1 CHOICE HTG & A/C","ECON:230619012334315"
"CMIS23-00152","06/14/2023","06/15/2023","06/16/2023","07/17/2023","","COMMERCIAL MECHANICAL","","FINALED","RESIDENCES AT OLDE TOWN SQUARE...","5182 AMMONS CT 201","Replace like-for-like Furnace ...","9600","","STEEL T HEATING INC","ECON:230614013223198"
"BKFL23-00001","06/13/2023","06/14/2023","08/14/2023","","02/18/2024","BACKFLOW DEVICE","RESIDENTIAL","ISSUED","CARSON FARMS WEST","6780 W 60TH AVE H 2","Install Lawn sprinkler system....","300","","SMITH NATHAN","MR:2306131117370626"
"CMIS23-00151","06/12/2023","06/12/2023","06/12/2023","07/26/2023","01/22/2024","COMMERCIAL ELECTRICAL","","FINALED","","6656 POMONA DR","service change - CITY PROJECT ...","4000","","M GILMORE ELECTRIC LLC","MR:2306120138501157"
"CMIS23-00146","06/09/2023","07/06/2023","07/06/2023","","01/02/2024","COMMERCIAL PLUMBING","","ISSUED","REPLAT OF LAKE ARBOR VILLAGE A...","5550 W 80TH PL 2","install gas line","1815","","COOPER HEATING & COOLING INC","ECON:230609062741249"
"CMIS23-00148","06/09/2023","06/12/2023","06/12/2023","09/19/2023","","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","FINALED","LAKE ARBOR TOWNHOMES","8607 CHASE DR 324","200 AMP Panel Replace","2725","","TIPPING HAT PLUMBING HEATING &...","ECON:230609111438122"
"CMIS23-00149","06/09/2023","09/08/2023","09/13/2023","","03/12/2024","COMMMISC","SALES AND CONST TRAILER","ISSUED","SABELL FLG 2","11904 W 57TH DR","Temporary Sales Trailer","5000","","REMINGTON HOMES COMPANY","ECON:230609120431031"
"CMIS23-00144","06/06/2023","06/07/2023","06/08/2023","","12/17/2023","COMMERCIAL PLUMBING","","ISSUED","RESIDENCES AT OLDE TOWN SQUARE...","8083 W 51ST PL 102","replace water heater gas","3989.99","","FIX-IT GROUP LLC","ECON:230606121027123"
"CMIS23-00142","06/05/2023","06/06/2023","06/07/2023","06/15/2023","","COMMERCIAL PLUMBING","","FINALED","ARVADA WATER TOWER DISTRICT","7733 W 55TH AVE 206","removal/replacement of water h...","795","","ENDURANCE PLUMBING","ECON:230605034524067"
"CMIS23-00143","06/05/2023","06/06/2023","06/07/2023","","12/25/2023","COMMERCIAL PLUMBING","","ISSUED","ARVADA WATER TOWER DISTRICT","7733 W 55TH AVE 308","Remove and reinstall gas water...","795","","ENDURANCE PLUMBING","ECON:230605042429142"
"CMIS23-00141","06/02/2023","06/05/2023","06/07/2023","06/28/2023","","COMMERCIAL PLUMBING","","FINALED","ARVADA WATER TOWER DISTRICT","7733 W 55TH AVE 219","Remove and reinstall gas water...","1500","","ENDURANCE PLUMBING","ECON:230602080253066"
"CMIS23-00137","06/01/2023","06/01/2023","05/31/2023","06/09/2023","","COMMERCIAL MECHANICAL","","FINALED","CONDOMINIUM MAP FOR TIMBERCOVE...","8438 EVERETT WAY E","swap furnace and ac unit","25764","","FIX-IT GROUP LLC","MR:2306010833100213"
"CMIS23-00138","06/01/2023","06/01/2023","06/02/2023","09/06/2023","","COMMERCIAL PLUMBING","","FINALED","","7410 W 84TH WAY","Replace failed water heater - ...","9850","","BROOMHALL BROTHERS INC","ECON:230601084506123"
"CMIS23-00139","06/01/2023","06/01/2023","06/13/2023","07/21/2023","01/17/2024","COMMERCIAL MECHANICAL","","FINALED","VILLAGES OF SAN MARINO","11355 W 84TH PL B","Replace like for like AC","6243","","ARS / RESCUE ROOTER","JSUK:230601025516435"
"CMIS23-00136","05/31/2023","05/31/2023","06/01/2023","","12/02/2023","COMMERCIAL MECHANICAL","","FINALED","ARVADA WATER TOWER DISTRICT","5420 ALLISON ST 102","Replace furnace & AC","9500","","A 1 CHOICE HTG & A/C","ECON:230531122407185"
"CMIS23-00134","05/30/2023","07/07/2023","07/07/2023","08/08/2023","","COMMERCIAL MECHANICAL","","FINALED","ARVADA MARKETPLACE BUSINESS CE...","5175 MARSHALL ST","Heat pump installation ","9000","","ELKHORN TECHNICAL RESOURCES, I...","ECON:230530091156116"
"CMIS23-00135","05/30/2023","06/01/2023","06/02/2023","","11/29/2023","COMMERCIAL MECHANICAL","","ISSUED","GRAFF MINOR SUBDIVISION","10734 W 63RD PL 105","install replacement","7386","","COOPER HEATING & COOLING INC","ECON:230530023640068"
"CMIS23-00131","05/26/2023","05/26/2023","05/31/2023","09/18/2023","","COMMERCIAL PLUMBING","","FINALED","ARVADA WATER TOWER DISTRICT","7931 W 55TH AVE 117","Water heater replacement","4104","","AAA SERVICE PLUMBING LLC","ECON:230526052515223"
"CMIS23-00132","05/26/2023","05/30/2023","06/01/2023","","11/28/2023","COMMERCIAL MECHANICAL","","ISSUED","WESTDALE TOWNHOMES","7992 CHASE CIR 12","AC and Furnace replacement","11053","","AAA SERVICE PLUMBING LLC","ECON:230526053111284"
"CMIS23-00130","05/25/2023","06/01/2023","06/01/2023","06/06/2023","","COMMERCIAL PLUMBING","","FINALED","WEST WOODS VILLAS","6262 KILMER LOOP 203","Install a 40 gallon gas hot wa...","1500","","ARS / RESCUE ROOTER","ECON:230525114751076"
"CMIS23-00129","05/19/2023","05/22/2023","06/15/2023","","01/21/2024","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","ISSUED","","7902 CARR DR","Temporary construction power","2138","","LAKEWOOD ELECTRIC CO INC","ECON:230519095509092"
"CMIS23-00127","05/18/2023","05/19/2023","05/22/2023","05/31/2023","","COMMERCIAL PLUMBING","","FINALED","ARVADA WATER TOWER DISTRICT","7931 W 55TH AVE 315","Water heater replacement (48 g...","3678","","AAA SERVICE PLUMBING LLC","ECON:230518051912062"
"CMIS23-00126","05/16/2023","05/22/2023","05/23/2023","","11/22/2023","COMMMISC","ACCESSORY STRUCTURE","ISSUED","","10501 W 63RD LN","COMMON ELECTRIC PANEL FOR SITE...","600","","RALSTON TERRACE LLC","ECON:230516115353195"
"CMIS23-00121","05/15/2023","05/15/2023","05/15/2023","06/15/2023","","COMMERCIAL PLUMBING","","FINALED","ARVADA WATER TOWER DISTRICT","7733 W 55TH AVE 105","Remove and reinstall gas water...","1500","","ENDURANCE PLUMBING","JSUK:230515115109784"
"CMIS23-00122","05/15/2023","05/15/2023","05/23/2023","06/14/2023","","COMMERCIAL MECHANICAL","","FINALED","CONDOMINIUM MAP FOR TIMBERCOVE...","8412 EVERETT WAY C","INSTALL 2 TON AC LIKE FOR LIKE","9754","","BROTHERS PLUMBING & HEATING IN...","JSUK:230515010613046"
"CMIS23-00123","05/15/2023","05/15/2023","05/15/2023","","11/11/2023","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","ISSUED","","11220 W 72ND AVE","meter pedestal for traffic lig...","1000","","LUMIN8 TRANSPORTAION TECHNOLOG...","ECON:230515014349078"
"CMIS23-00124","05/15/2023","05/15/2023","05/15/2023","05/22/2023","","COMMERCIAL PLUMBING","","FINALED","WEST WOODS VILLAS","6262 KILMER LOOP 206","REPLACE 50GAL WATER HEATER NO ...","3234","","AAA SERVICE PLUMBING LLC","JSUK:230515025745351"
"CMIS23-00125","05/15/2023","06/06/2023","06/07/2023","06/30/2023","","COMMERCIAL MECHANICAL","","FINALED","GILMORE BUSINESS AND COMMERCIA...","5540 MARSHALL ST","NEW CHILLER INSTALL- ELEC ON S...","331623","","COLORADO MECHANICAL SYSTEMS IN...","ECON:230515033237088"
"CMIS23-00120","05/12/2023","05/12/2023","05/15/2023","","11/11/2023","COMMERCIAL MECHANICAL","","ISSUED","GLEN ELLEN SUBDIVISION","8790 RALSTON RD","Replace furnace and A/C, insta...","20200","","GRANADOS HEATING","MR:2305120946440390"
"CMIS23-00119","05/11/2023","05/30/2023","05/30/2023","06/02/2023","","COMMERCIAL ELECTRICAL","METER HOUSING ONLY","FINALED","","9379 INDIANA ST","meter pedestal for traffic lig...","3000","","LUMIN8 TRANSPORTAION TECHNOLOG...","ECON:230511105107230"
"CMIS23-00118","05/09/2023","05/09/2023","05/06/2023","","11/02/2023","COMMERCIAL ELECTRICAL","","ISSUED","GLEN ELLEN SUBDIVISION","8790 RALSTON RD","Panel upgrade","4000","","EDISON ELECTRIC LTD","MR:2305090850230236"
"CMIS23-00116","05/08/2023","05/09/2023","05/09/2023","05/16/2023","","COMMERCIAL MECHANICAL","","FINALED","LAKE ARBOR TOWNHOMES","8759 CHASE DR 173","install replacement","13147","","COOPER HEATING & COOLING INC","ECON:230508064909850"
"CMIS23-00117","05/08/2023","05/08/2023","05/08/2023","05/16/2023","","COMMERCIAL MECHANICAL","","FINALED","LAKE ARBOR TOWNHOMES","8783 CHASE DR 212","A/C install 2 Ton","4730","","FOUR SEASONS HEATING INC","JSUK:230508024924879"
"CMIS23-00112","05/04/2023","06/15/2023","06/15/2023","","01/23/2024","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","ISSUED","RALSTON STATION FILING NO. 2, ...","6275 SIMMS ST","NEW METERED SERVICE FOR ELECTR...","15000","","STURGEON ELECTRIC","ECON:230504022852099"
"CMIS23-00114","05/04/2023","05/08/2023","05/08/2023","05/23/2023","","COMMERCIAL MECHANICAL","","FINALED","WEST WOODS VILLAS","15234 W 63RD AVE 201","Furnace and AC replacement","12285","","LAKESIDE HEATING & A/C INC","ECON:230504063808184"
"CMIS23-00109","05/01/2023","05/31/2023","05/31/2023","06/01/2023","","COMMERCIAL PLUMBING","","FINALED","REPLAT OF TRACT A POMONA LAKES...","8031 WADSWORTH BLVD","Replace like for like water he...","14000","","KRAUS & COMPANY JETTING INC","ECON:230501014901144"
"CMIS23-00105","04/28/2023","05/01/2023","05/05/2023","","11/01/2023","COMMERCIAL MECHANICAL","","ISSUED","MEADOWLAKE VILLAGE SUBDIVISION...","6355 WARD RD","Replace hot water boiler with ...","120580","","AMERICAN MECHANICAL SVCS OF DE...","ECON:230428082415179"
"CMIS23-00106","04/28/2023","05/09/2023","05/09/2023","","11/05/2023","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","ISSUED","","5412 MARSHALL ST","Install 60amp electrical servi...","900","","B-TEC INC","ECON:230428082650244"
"CMIS23-00107","04/28/2023","05/31/2023","06/02/2023","06/28/2023","","COMMERCIAL ELECTRICAL","METER HOUSING ONLY","FINALED","Arvada Col. Ter.","7505 GRANDVIEW AVE A","Replacing 100 amp meter","2800","","JAYS ELECTRIC LLC","ECON:230428091257068"
"CMIS23-00104","04/26/2023","04/27/2023","05/02/2023","","11/27/2023","COMMERCIAL PLUMBING","","ISSUED","A REPLAT OF CLUB CREST CONDOMI...","7891 ALLISON WAY 201","40 GALLON GAS WATER HEATER REP...","1798","","DOCTOR FIX-IT HTG, COOLING & E...","ECON:230426122756227"
"CMIS23-00098","04/25/2023","04/26/2023","04/27/2023","06/28/2023","","COMMERCIAL MECHANICAL","","FINALED","LAKE ARBOR TOWNHOMES","6945 W 87TH WAY 287","replace furnace and ac","13500","","BLUE SKY PLUMBING","ECON:230425103047066"
"CMIS23-00099","04/25/2023","04/26/2023","05/05/2023","","11/01/2023","COMMERCIAL MECHANICAL","","ISSUED","","5150 ALLISON ST","Chiller replacement","40000","","COMPUTER SITES INC.","ECON:230425012331283"
"CMIS23-00101","04/25/2023","05/17/2023","05/17/2023","","11/13/2023","COMMMISC","SALES AND CONST TRAILER","ISSUED","RALSTON CREEK SOUTHEAST MINOR ...","5772 GARRISON ST","CONSTRUCTION/OFFICE TRAILER","22000000","","R.G. BRINKMANN - ROW","ECON:230425030553049"
"CMIS23-00102","04/25/2023","05/23/2023","05/03/2023","","10/30/2023","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","ISSUED","","11220 W 72ND AVE","METER POWER PEDESTAL(MPP) STRE...","0","","LUMIN8 TRANSPORTAION TECHNOLOG...","MR:2304250516071589"
"CMIS23-00103","04/25/2023","05/30/2023","06/01/2023","","12/05/2023","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","ISSUED","","11653 W 72ND AVE","METER POWER PEDESTAL(MPP) STRE...","0","","LUMIN8 TRANSPORTAION TECHNOLOG...","MR:2304250528221626"
"CMIS23-00097","04/24/2023","04/26/2023","05/03/2023","","01/08/2024","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","ISSUED","","10805 W 72ND AVE","meter pedestal for traffic lig...","0","","LUMIN8 TRANSPORTAION TECHNOLOG...","ECON:230424010846217"
"CMIS23-00096","04/21/2023","05/03/2023","05/03/2023","","10/30/2023","COMMERCIAL ELECTRICAL","CONSTRUCTION METER","ISSUED","","7212 QUAIL ST","meter pedestal for traffic lig...","0","","LUMIN8 TRANSPORTAION TECHNOLOG...","ECON:230421094919212"
"CMIS23-00095","04/20/2023","05/03/2023","05/03/2023","","10/30/2023","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","ISSUED","","7210 SIMMS ST","meter pedestal for traffic lig...","1000","","LUMIN8 TRANSPORTAION TECHNOLOG...","ECON:230420103135401"
"CMIS23-00093","04/19/2023","04/20/2023","04/20/2023","","10/21/2023","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","ISSUED","LAMAR HEIGHTS Filing No Four","5939 W 64TH AVE","ran a 30 amp dryer circuit","800","","VITTETOE CONSTRUCTION & ELECTR...","ECON:230419021750254"
"CMIS23-00094","04/19/2023","04/19/2023","04/19/2023","","10/17/2023","COMMERCIAL MECHANICAL","","ISSUED","LAKE ARBOR TOWNHOMES","8759 CHASE DR 173","GAS LINE REPAIR LEAK INTERIOR ...","1500","","MTECH MECHANICAL TECHNOLOGIES ...","MR:2304190302091582"
"CMIS23-00092","04/18/2023","04/20/2023","04/24/2023","","10/24/2023","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","ISSUED","","17130 W 94TH AVE","repair service lateral from xc...","1200","","NATURAL PROGRESSION","ECON:230418084234192"
"CMIS23-00084","04/13/2023","04/17/2023","04/19/2023","06/15/2023","","COMMERCIAL MECHANICAL","","FINALED","PARKWAY CENTER ACTION INDUSTRI...","6488 GARDENIA ST","replace (1) existing 5ton RTU","18000","","VECTRA MECHANICAL","ECON:230413073255119"
"CMIS23-00085","04/13/2023","04/17/2023","04/18/2023","","10/15/2023","COMMERCIAL PLUMBING","","ISSUED","CONDOMINIUM MAP FOR TIMBERCOVE...","8404 EVERETT WAY E","Replacement","3900","","AUTHORITY BRANDS SERVICES RETA...","ECON:230413113302090"
"CMIS23-00082","04/12/2023","04/25/2023","04/25/2023","05/26/2023","","COMMERCIAL MECHANICAL","","FINALED","First Addition to RENO PARK","5701 WADSWORTH BLVD","replace (1) existing 12.5ton R...","11000","","VECTRA MECHANICAL","ECON:230412014141256"
"CMIS23-00081","04/11/2023","04/12/2023","04/17/2023","04/25/2023","","COMMERCIAL PLUMBING","","FINALED","LAKE ARBOR FAIRWAYS","6630 W 84TH WAY 35","Replacing water heater with a ...","5134","","APPLEWOOD PLMB, HTG & ELEC","ECON:230411120403622"
"CMIS23-00078","04/10/2023","04/11/2023","04/20/2023","06/23/2023","","COMMERCIAL ELECTRICAL","NEW WIRING CIRCUITS","FINALED","LEYDEN ROCK SUBDIVISION FILING...","17685 W 83RD DR","Extend existing power and ligh...","3000","","SHELTON ELECTRICAL SERVICES","ECON:230410074050339"
"CMIS23-00079","04/10/2023","04/11/2023","04/11/2023","","10/22/2023","COMMERCIAL ELECTRICAL","CONSTRUCTION METER","ISSUED","INDIANA BUSINESS CENTER MINOR ...","14701 W 65TH WAY","Temp Service","500","","ELCTRI-TEK, LLC","ECON:230410034958138"
"CMIS23-00077","04/07/2023","04/07/2023","04/07/2023","04/19/2023","","COMMERCIAL PLUMBING","","FINALED","A REPLAT OF CLUB CREST CONDOMI...","7883 ALLISON WAY 101","Replace Water Heater 30 BTU 40...","1500","","JUSTIN TIME PLUMBING","MR:2304070230181122"
"CMIS23-00074","04/05/2023","04/06/2023","04/18/2023","04/19/2023","","COMMERCIAL MECHANICAL","","FINALED","EAGLE SUBDIVISION AMENDMENT NO...","5405 WADSWORTH BYP","Like for like unit heater repl...","31000","","LENNOX NAS","ECON:230405093909088"
"CMIS23-00075","04/05/2023","04/06/2023","04/06/2023","","10/03/2023","COMMERCIAL PLUMBING","","ISSUED","ARVADA RIDGE, 5TH AMENDMENT","10357 W 52ND PL 210","Replace like for like gas wate...","1100","","MASTER ROOTER PLUMBING LLC","ECON:230405021720295"
"CMIS23-00076","04/05/2023","04/05/2023","04/06/2023","","10/03/2023","COMMERCIAL PLUMBING","","ISSUED","WESTDALE TOWNHOMES","7964 CHASE CIR 98","Replacing water heater with a ...","5332","","APPLEWOOD PLMB, HTG & ELEC","DRO:2304050451572510"
"CMIS23-00073","04/03/2023","04/04/2023","04/04/2023","","10/01/2023","COMMERCIAL MECHANICAL","","ISSUED","2ND REPLAT OF LOT 4 NORTH PARK...","6520 WADSWORTH BLVD 130","Sute #130, (3) RTU Replacement...","35000","","MECHANICAL SOLUTIONS INC","ECON:230403103611298"
"CMIS23-00070","03/30/2023","03/31/2023","04/03/2023","","09/30/2023","COMMERCIAL PLUMBING","","ISSUED","ARVADA RIDGE, 5TH AMENDMENT","10237 W 52ND PL 308","Replace like for like gas wate...","1100","","MASTER ROOTER PLUMBING LLC","ECON:230330105649105"
"CMIS23-00071","03/30/2023","03/31/2023","03/31/2023","","09/27/2023","COMMERCIAL PLUMBING","","ISSUED","ARVADA RIDGE, 5TH AMENDMENT","10277 W 52ND PL 207","Replace like for like gas wate...","1100","","MASTER ROOTER PLUMBING LLC","ECON:230330110020166"
"CMIS23-00072","03/30/2023","05/19/2023","05/23/2023","","11/29/2023","COMMMISC","SALES AND CONST TRAILER","ISSUED","RALSTON CREEK TOWNHOMES SUBDIV...","9468 W 58TH LN A","Temp Const Office AND STORAGE ...","5000","","CAISSON INVESTMENTS INC dba BE...","ECON:230330012248129"
"CMIS23-00066","03/29/2023","03/29/2023","03/29/2023","04/06/2023","","COMMERCIAL PLUMBING","","FINALED","LAKE ARBOR TOWNHOMES","8793 CHASE DR 224","replacing hot water heater","2450","","ALL SEASON PLUMBING AND HEATIN...","ECON:230329103221166"
"CMIS23-00068","03/29/2023","03/30/2023","03/30/2023","","10/04/2023","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","ISSUED","","15238 W 69TH AVE","IRRIGATION CLOK","2000","","ALL WIRED UP ELECTRIC, LLC","ECON:230329032120205"
